policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,374.1557727876485,0.6313736228693119,0.0,1.0,2.55,0.8105197550854711
attn_ml_gcn,0.562,453.1604651947256,0.5535364874928812,0.2370397644827429,1.0,3.2,0.8099858873651169
ml_gcn,0.562,453.1604651947256,0.5535364874928812,0.2370397644827429,1.0,3.2,0.8099858873651169
ml_gcn_interference,0.525,457.30067113697885,0.5494574668601194,0.24539091009696276,1.0,3.25,0.7942312388300372
ml_gcn_no_interference,0.531,462.3608209989453,0.5444720975379849,0.2534746312820061,1.0,3.3,0.7873507046724436
ml_gcn_load,0.508,463.4435219485713,0.5434053970950037,0.2585493972972544,1.0,3.3,0.7998192092867203
ml_gcn_no_temporal,0.509,463.53266018366196,0.5433175761737321,0.2610134872181097,1.0,3.3,0.7894117626609285
ml_gcn_temporal,0.505,463.8045211303519,0.5430497328765006,0.2589951960031416,1.0,3.3,0.8015104335595161
ml_gcn_association,0.507,463.84269860485455,0.5430121196011285,0.25970168150368855,1.0,3.3,0.7978245170924836
ml_gcn_no_association,0.533,464.4069789564827,0.5424561783679973,0.2588297802900478,1.0,3.3,0.8023363689004116
ml_gcn_no_load,0.515,475.27698569680825,0.5317468121213712,0.28744869924472594,1.0,3.4,0.7830746115798618
rsrp,0.41,834.1130050689804,0.178213788109379,1.2921093266216912,0.99,7.0,0.6562583820972296
sinr,0.41,834.1130050689804,0.178213788109379,1.2921093266216912,0.99,7.0,0.6562583820972296
load_aware,0.402,847.5880745442655,0.16493785759185658,1.3248324915529994,0.99,7.0,0.6612193040906028
