policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,mean_active_load
rsrp,0,0,0.06,0.08,678.3932316387504,0.33163228409975326,2.8069554094398415,1.0,7.0,0.17656826912458862,0.1256967055551962
rsrp,1,1,0.28,0.26,675.331999899225,0.33464827596135466,2.6179397931183592,1.0,7.0,0.1564350769693398,0.11774545428370124
rsrp,2,2,0.12,0.16,678.3256222135788,0.33169889437085837,2.9600000097383847,1.0,7.0,0.17019257338046567,0.12552109665864614
rsrp,3,3,0.14,0.12,690.9384571965809,0.3192724559639597,2.8184415442805477,1.0,7.0,0.19539605701937904,0.1582817070041063
rsrp,4,4,0.06,0.08,653.8408439483877,0.3558218286222781,3.243878367159469,1.0,7.0,0.08937334209726311,0.061924269995812194
rsrp,5,5,0.22,0.14,675.5379682702821,0.3344453514578501,3.2573536267674057,1.0,7.0,0.16522033621666593,0.11828043706566775
rsrp,6,6,0.1,0.12,680.4360216853361,0.32961968306863443,2.735411798925774,1.0,7.0,0.15876245429953323,0.13100265372814546
rsrp,7,7,0.1,0.1,679.2249278000486,0.33081287901473044,2.800254566710629,1.0,7.0,0.15540134598135222,0.12785695532480137
rsrp,8,8,0.1,0.12,666.706498408835,0.3431463069863694,2.987071435969288,1.0,7.0,0.14403169476271388,0.09534155430866256
rsrp,9,9,0.08,0.1,698.56510580109,0.3117585164521281,2.7175282262290654,1.0,7.0,0.25761624921445314,0.17809118389893497
rsrp,10,10,0.1,0.1,676.9216615548205,0.33308210684254136,3.08640643265213,1.0,7.0,0.15199579776817068,0.12187444559693618
rsrp,11,11,0.1,0.12,696.4427257396599,0.3138495312909755,3.2667546910280443,1.0,7.0,0.204998253098608,0.17257850841470085
rsrp,12,12,0.16,0.14,685.13207121688,0.32499303328386203,2.7118587986952254,1.0,7.0,0.20827841539430025,0.14320018497890916
rsrp,13,13,0.18,0.18,675.0790610628907,0.3348974767853294,2.6059868001711632,1.0,7.0,0.15321232604985835,0.11708847029322245
rsrp,14,14,0.1,0.1,687.093540820737,0.3230605509155301,2.939622296119386,1.0,7.0,0.2084485673484062,0.14829491122269364
sinr,0,0,0.06,0.08,678.3932316387504,0.33163228409975326,2.8069554094398415,1.0,7.0,0.17656826912458862,0.1256967055551962
sinr,1,1,0.28,0.26,675.331999899225,0.33464827596135466,2.6179397931183592,1.0,7.0,0.1564350769693398,0.11774545428370124
sinr,2,2,0.12,0.16,678.3256222135788,0.33169889437085837,2.9600000097383847,1.0,7.0,0.17019257338046567,0.12552109665864614
sinr,3,3,0.14,0.12,690.9384571965809,0.3192724559639597,2.8184415442805477,1.0,7.0,0.19539605701937904,0.1582817070041063
sinr,4,4,0.06,0.08,653.8408439483877,0.3558218286222781,3.243878367159469,1.0,7.0,0.08937334209726311,0.061924269995812194
sinr,5,5,0.22,0.14,675.5379682702821,0.3344453514578501,3.2573536267674057,1.0,7.0,0.16522033621666593,0.11828043706566775
sinr,6,6,0.1,0.12,680.4360216853361,0.32961968306863443,2.735411798925774,1.0,7.0,0.15876245429953323,0.13100265372814546
sinr,7,7,0.1,0.1,679.2249278000486,0.33081287901473044,2.800254566710629,1.0,7.0,0.15540134598135222,0.12785695532480137
sinr,8,8,0.1,0.12,666.706498408835,0.3431463069863694,2.987071435969288,1.0,7.0,0.14403169476271388,0.09534155430866256
sinr,9,9,0.08,0.1,698.56510580109,0.3117585164521281,2.7175282262290654,1.0,7.0,0.25761624921445314,0.17809118389893497
sinr,10,10,0.1,0.1,676.9216615548205,0.33308210684254136,3.08640643265213,1.0,7.0,0.15199579776817068,0.12187444559693618
sinr,11,11,0.1,0.12,696.4427257396599,0.3138495312909755,3.2667546910280443,1.0,7.0,0.204998253098608,0.17257850841470085
sinr,12,12,0.16,0.14,685.13207121688,0.32499303328386203,2.7118587986952254,1.0,7.0,0.20827841539430025,0.14320018497890916
sinr,13,13,0.18,0.18,675.0790610628907,0.3348974767853294,2.6059868001711632,1.0,7.0,0.15321232604985835,0.11708847029322245
sinr,14,14,0.1,0.1,687.093540820737,0.3230605509155301,2.939622296119386,1.0,7.0,0.2084485673484062,0.14829491122269364
load_aware,0,0,0.1,0.1,685.8852576164379,0.32425097771779515,2.848998589550178,1.0,7.0,0.17163392869816904,0.14515651328944887
load_aware,1,1,0.24,0.24,681.1665274900857,0.3288999729161717,2.6491969666984234,1.0,7.0,0.14314135855907856,0.13290007140281995
load_aware,2,2,0.16,0.16,686.5941189823277,0.32355259213563775,3.008270701884609,1.0,7.0,0.16506510795661694,0.1469977116424097
load_aware,3,3,0.14,0.14,701.5009446872589,0.3088660643475282,2.876814675237815,1.0,7.0,0.20167791050208483,0.18571673944742578
load_aware,4,4,0.08,0.08,654.0183833503453,0.35564691295532486,3.2450307204183084,1.0,7.0,0.07334130063614316,0.06238541129959813
load_aware,5,5,0.14,0.14,678.9992608303858,0.331035211004546,3.279167273262793,1.0,7.0,0.15067256355834607,0.12727080735165122
load_aware,6,6,0.12,0.12,679.5300626934612,0.3305122535039791,2.730438326329173,1.0,7.0,0.14281379506710656,0.12864951348950954
load_aware,7,7,0.1,0.1,685.0723049214446,0.3250519163335521,2.8329705650483787,1.0,7.0,0.1770202100925253,0.14304494784790805
load_aware,8,8,0.12,0.12,677.7675006481497,0.3322487678343352,3.0532189929329827,1.0,7.0,0.14037577040063298,0.12407143025493447
load_aware,9,9,0.1,0.1,698.56510580109,0.3117585164521281,2.7175282262290654,1.0,7.0,0.25761624921445314,0.17809118389893497
load_aware,10,10,0.08,0.08,675.302469759154,0.33467736969541484,3.0766317775549483,1.0,7.0,0.14321176637246502,0.11766875262117894
load_aware,11,11,0.1,0.1,708.5960730272818,0.3018757901209046,3.341212144074281,1.0,7.0,0.21120681771011263,0.20414564422670592
load_aware,12,12,0.18,0.18,695.259510159112,0.3150152609269833,2.766726502201215,1.0,7.0,0.18875055856211678,0.1695052211924987
load_aware,13,13,0.16,0.16,684.9262847749148,0.3251957785468819,2.6585865040754495,1.0,7.0,0.16723972505993834,0.14266567474003872
load_aware,14,14,0.1,0.1,701.2249327703973,0.3091379972705445,3.0206481586730978,1.0,7.0,0.21914475158496885,0.18499982537765522
oracle,0,0,1.0,1.0,178.1983655381374,0.8244351078441996,0.0,1.0,1.0,0.73087937342068,0.73087937342068
oracle,1,1,1.0,1.0,186.66203378612494,0.8160965184373152,0.0,1.0,1.0,0.8847642506568173,0.8847642506568173
oracle,2,2,1.0,1.0,171.294348622588,0.8312370949531153,0.0,1.0,1.0,0.6053517931379633,0.6053517931379633
oracle,3,3,1.0,1.0,180.94776342235826,0.8217263414558046,0.0,1.0,1.0,0.7808684258610594,0.7808684258610594
oracle,4,4,1.0,1.0,154.06681987118762,0.8482100296835591,0.0,1.0,1.0,0.29212399765795677,0.29212399765795677
oracle,5,5,1.0,1.0,158.67555939514847,0.8436693996106912,0.0,1.0,1.0,0.37591926172997203,0.37591926172997203
oracle,6,6,1.0,1.0,182.15823537341055,0.8205337582527975,0.0,1.0,1.0,0.8028770067892825,0.8028770067892825
oracle,7,7,1.0,1.0,178.7314286126791,0.8239099225490846,0.0,1.0,1.0,0.7405714293214382,0.7405714293214382
oracle,8,8,1.0,1.0,167.21709382835613,0.835254094750388,0.0,1.0,1.0,0.5312198877882932,0.5312198877882932
oracle,9,9,1.0,1.0,187.91117734422443,0.814865835128843,0.0,1.0,1.0,0.9074759517131714,0.9074759517131714
oracle,10,10,1.0,1.0,165.65206440209369,0.8367959956629619,0.0,1.0,1.0,0.5027648073107941,0.5027648073107941
oracle,11,11,1.0,1.0,163.22539638946455,0.8391868015867344,0.0,1.0,1.0,0.45864357071753753,0.45864357071753753
oracle,12,12,1.0,1.0,184.57923869779592,0.818148533302664,0.0,1.0,1.0,0.8468952490508348,0.8468952490508348
oracle,13,13,1.0,1.0,187.2106301195687,0.8155560294388485,0.0,1.0,1.0,0.8947387294467032,0.8947387294467032
oracle,14,14,1.0,1.0,174.40594279749587,0.8281714849285755,0.0,1.0,1.0,0.6619262326817429,0.6619262326817429
flat_mlp,0,0,1.0,1.0,178.1983655381374,0.8244351078441996,0.0,1.0,1.0,0.73087937342068,0.73087937342068
flat_mlp,1,1,1.0,1.0,186.66203378612494,0.8160965184373152,0.0,1.0,1.0,0.8847642506568173,0.8847642506568173
flat_mlp,2,2,1.0,1.0,171.294348622588,0.8312370949531153,0.0,1.0,1.0,0.6053517931379633,0.6053517931379633
flat_mlp,3,3,1.0,1.0,180.94776342235826,0.8217263414558046,0.0,1.0,1.0,0.7808684258610594,0.7808684258610594
flat_mlp,4,4,0.0,0.0,180.78722886265513,0.821884503583591,0.17343389714805524,1.0,1.0,0.7779496156846385,0.7779496156846385
flat_mlp,5,5,1.0,1.0,158.67555939514847,0.8436693996106912,0.0,1.0,1.0,0.37591926172997203,0.37591926172997203
flat_mlp,6,6,1.0,1.0,182.15823537341055,0.8205337582527975,0.0,1.0,1.0,0.8028770067892825,0.8028770067892825
flat_mlp,7,7,1.0,1.0,178.7314286126791,0.8239099225490846,0.0,1.0,1.0,0.7405714293214382,0.7405714293214382
flat_mlp,8,8,1.0,1.0,167.21709382835613,0.835254094750388,0.0,1.0,1.0,0.5312198877882932,0.5312198877882932
flat_mlp,9,9,1.0,1.0,187.91117734422443,0.814865835128843,0.0,1.0,1.0,0.9074759517131714,0.9074759517131714
flat_mlp,10,10,0.0,0.0,280.88391531090105,0.7232670785114275,0.6956258065646597,1.0,2.0,0.5605788795163467,0.5534901391900092
flat_mlp,11,11,1.0,1.0,163.22539638946455,0.8391868015867344,0.0,1.0,1.0,0.45864357071753753,0.45864357071753753
flat_mlp,12,12,1.0,1.0,184.57923869779592,0.818148533302664,0.0,1.0,1.0,0.8468952490508348,0.8468952490508348
flat_mlp,13,13,0.0,0.48,260.99649030206876,0.742860600687617,0.39413285525172437,1.0,2.0,0.3803790820164605,0.3726953663824435
flat_mlp,14,14,0.0,0.0,180.2619882123663,0.8224019820567819,0.03357709789551115,1.0,1.0,0.768399785679387,0.768399785679387
agg_gcn,0,0,1.0,1.0,178.1983655381374,0.8244351078441996,0.0,1.0,1.0,0.73087937342068,0.73087937342068
agg_gcn,1,1,1.0,1.0,186.66203378612494,0.8160965184373152,0.0,1.0,1.0,0.8847642506568173,0.8847642506568173
agg_gcn,2,2,1.0,1.0,171.294348622588,0.8312370949531153,0.0,1.0,1.0,0.6053517931379633,0.6053517931379633
agg_gcn,3,3,1.0,1.0,180.94776342235826,0.8217263414558046,0.0,1.0,1.0,0.7808684258610594,0.7808684258610594
agg_gcn,4,4,0.0,0.0,180.78722886265513,0.821884503583591,0.17343389714805524,1.0,1.0,0.7779496156846385,0.7779496156846385
agg_gcn,5,5,1.0,1.0,158.67555939514847,0.8436693996106912,0.0,1.0,1.0,0.37591926172997203,0.37591926172997203
agg_gcn,6,6,1.0,1.0,182.15823537341055,0.8205337582527975,0.0,1.0,1.0,0.8028770067892825,0.8028770067892825
agg_gcn,7,7,0.0,0.46,259.6140136287731,0.7442226466711594,0.4525370028310522,1.0,2.0,0.37565560819021754,0.3601273966252099
agg_gcn,8,8,1.0,1.0,167.21709382835613,0.835254094750388,0.0,1.0,1.0,0.5312198877882932,0.5312198877882932
agg_gcn,9,9,0.0,0.0,278.8656557032722,0.725255511622392,0.48402910164536467,1.0,2.0,0.55619316542502,0.5351423245752014
agg_gcn,10,10,0.0,0.0,182.5094486652213,0.8201877353052007,0.10176380429651048,1.0,1.0,0.8092627030040236,0.8092627030040236
agg_gcn,11,11,1.0,1.0,163.22539638946455,0.8391868015867344,0.0,1.0,1.0,0.45864357071753753,0.45864357071753753
agg_gcn,12,12,1.0,1.0,184.57923869779592,0.818148533302664,0.0,1.0,1.0,0.8468952490508348,0.8468952490508348
agg_gcn,13,13,0.0,0.48,260.99649030206876,0.742860600687617,0.39413285525172437,1.0,2.0,0.3803790820164605,0.3726953663824435
agg_gcn,14,14,0.0,0.0,180.2619882123663,0.8224019820567819,0.03357709789551115,1.0,1.0,0.768399785679387,0.768399785679387
ml_gcn,0,0,1.0,1.0,178.1983655381374,0.8244351078441996,0.0,1.0,1.0,0.73087937342068,0.73087937342068
ml_gcn,1,1,1.0,1.0,186.66203378612494,0.8160965184373152,0.0,1.0,1.0,0.8847642506568173,0.8847642506568173
ml_gcn,2,2,1.0,1.0,171.294348622588,0.8312370949531153,0.0,1.0,1.0,0.6053517931379633,0.6053517931379633
ml_gcn,3,3,1.0,1.0,180.94776342235826,0.8217263414558046,0.0,1.0,1.0,0.7808684258610594,0.7808684258610594
ml_gcn,4,4,1.0,1.0,154.06681987118762,0.8482100296835591,0.0,1.0,1.0,0.29212399765795677,0.29212399765795677
ml_gcn,5,5,1.0,1.0,158.67555939514847,0.8436693996106912,0.0,1.0,1.0,0.37591926172997203,0.37591926172997203
ml_gcn,6,6,0.0,0.0,256.27381796298533,0.7475134798394234,0.40687472865359875,1.0,2.0,0.3505926548982682,0.3297619814816849
ml_gcn,7,7,1.0,1.0,178.7314286126791,0.8239099225490846,0.0,1.0,1.0,0.7405714293214382,0.7405714293214382
ml_gcn,8,8,1.0,1.0,167.21709382835613,0.835254094750388,0.0,1.0,1.0,0.5312198877882932,0.5312198877882932
ml_gcn,9,9,1.0,1.0,187.91117734422443,0.814865835128843,0.0,1.0,1.0,0.9074759517131714,0.9074759517131714
ml_gcn,10,10,0.0,0.0,280.88391531090105,0.7232670785114275,0.6956258065646597,1.0,2.0,0.5605788795163467,0.5534901391900092
ml_gcn,11,11,1.0,1.0,163.22539638946455,0.8391868015867344,0.0,1.0,1.0,0.45864357071753753,0.45864357071753753
ml_gcn,12,12,1.0,1.0,184.57923869779592,0.818148533302664,0.0,1.0,1.0,0.8468952490508348,0.8468952490508348
ml_gcn,13,13,0.0,0.48,260.99649030206876,0.742860600687617,0.39413285525172437,1.0,2.0,0.3803790820164605,0.3726953663824435
ml_gcn,14,14,0.0,0.0,180.2619882123663,0.8224019820567819,0.03357709789551115,1.0,1.0,0.768399785679387,0.768399785679387
attn_ml_gcn,0,0,1.0,1.0,178.1983655381374,0.8244351078441996,0.0,1.0,1.0,0.73087937342068,0.73087937342068
attn_ml_gcn,1,1,1.0,1.0,186.66203378612494,0.8160965184373152,0.0,1.0,1.0,0.8847642506568173,0.8847642506568173
attn_ml_gcn,2,2,1.0,1.0,171.294348622588,0.8312370949531153,0.0,1.0,1.0,0.6053517931379633,0.6053517931379633
attn_ml_gcn,3,3,1.0,1.0,180.94776342235826,0.8217263414558046,0.0,1.0,1.0,0.7808684258610594,0.7808684258610594
attn_ml_gcn,4,4,1.0,1.0,154.06681987118762,0.8482100296835591,0.0,1.0,1.0,0.29212399765795677,0.29212399765795677
attn_ml_gcn,5,5,1.0,1.0,158.67555939514847,0.8436693996106912,0.0,1.0,1.0,0.37591926172997203,0.37591926172997203
attn_ml_gcn,6,6,0.0,0.0,256.27381796298533,0.7475134798394234,0.40687472865359875,1.0,2.0,0.3505926548982682,0.3297619814816849
attn_ml_gcn,7,7,1.0,1.0,178.7314286126791,0.8239099225490846,0.0,1.0,1.0,0.7405714293214382,0.7405714293214382
attn_ml_gcn,8,8,1.0,1.0,167.21709382835613,0.835254094750388,0.0,1.0,1.0,0.5312198877882932,0.5312198877882932
attn_ml_gcn,9,9,1.0,1.0,187.91117734422443,0.814865835128843,0.0,1.0,1.0,0.9074759517131714,0.9074759517131714
attn_ml_gcn,10,10,0.0,0.0,280.88391531090105,0.7232670785114275,0.6956258065646597,1.0,2.0,0.5605788795163467,0.5534901391900092
attn_ml_gcn,11,11,1.0,1.0,163.22539638946455,0.8391868015867344,0.0,1.0,1.0,0.45864357071753753,0.45864357071753753
attn_ml_gcn,12,12,1.0,1.0,184.57923869779592,0.818148533302664,0.0,1.0,1.0,0.8468952490508348,0.8468952490508348
attn_ml_gcn,13,13,0.0,0.48,260.99649030206876,0.742860600687617,0.39413285525172437,1.0,2.0,0.3803790820164605,0.3726953663824435
attn_ml_gcn,14,14,0.0,0.0,180.2619882123663,0.8224019820567819,0.03357709789551115,1.0,1.0,0.768399785679387,0.768399785679387
