policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,mean_active_load
rsrp,0,0,0.42,0.4,853.8854813642585,0.15873351589728232,1.6698271653854055,1.0,7.0,0.7088966479049984,0.5815207308162559
rsrp,1,1,0.42,0.32,830.6241708186394,0.18165106323286756,1.83533614595458,1.0,7.0,0.6489343140026625,0.5211017423860768
rsrp,2,2,0.48,0.44,837.7219039570978,0.17465822270236672,0.9433371755379734,1.0,7.0,0.6822145770894231,0.5395374128755785
rsrp,3,3,0.46,0.48,876.339053208038,0.13661177023838625,1.0326115571754515,1.0,7.0,0.6983212585172288,0.639841696644254
rsrp,4,4,0.42,0.36,728.7491226396103,0.28202056882797016,1.713114231500371,1.0,7.0,0.2988218847832868,0.2564912276353512
rsrp,5,5,0.34,0.34,814.2583881668559,0.19777498702772822,1.6171626307894276,1.0,7.0,0.6608813448666637,0.47859321601780713
rsrp,6,6,0.38,0.34,839.6992695927856,0.1727100792189304,1.6420885119321516,1.0,7.0,0.614236935485864,0.5446734275137292
rsrp,7,7,0.5,0.5,833.7643848145628,0.17855725634033218,0.9290895755812548,1.0,7.0,0.6216053839254089,0.529258142375488
rsrp,8,8,0.52,0.46,802.9033570931445,0.20896220976044882,0.9706347786546273,1.0,7.0,0.5761267790508555,0.44909962881336224
rsrp,9,9,0.6,0.52,904.2604232043598,0.10910303132575393,1.1152427448753615,0.8,7.0,1.0304649968578126,0.7123647355957399
rsrp,10,10,0.38,0.32,811.2098790366156,0.2007784442989009,1.5749365836623055,1.0,7.0,0.5728470654898601,0.4706750104847158
rsrp,11,11,0.48,0.46,894.4257272408726,0.11879238695480536,1.0091382647318439,1.0,7.0,0.8273723148881281,0.6868200707555131
rsrp,12,12,0.42,0.46,867.9837034894572,0.1448436418823082,0.8761636883819254,1.0,7.0,0.7550022342484671,0.618139489583006
rsrp,13,13,0.48,0.44,817.9527066425837,0.1941352643915431,0.9345657032753096,1.0,7.0,0.5859726490645748,0.48818884842229565
rsrp,14,14,0.44,0.44,894.1030952434473,0.11911025099167749,1.0658865290767092,1.0,7.0,0.8178141685304008,0.6859820655673957
sinr,0,0,0.42,0.4,853.8854813642585,0.15873351589728232,1.6698271653854055,1.0,7.0,0.7088966479049984,0.5815207308162559
sinr,1,1,0.42,0.32,830.6241708186394,0.18165106323286756,1.83533614595458,1.0,7.0,0.6489343140026625,0.5211017423860768
sinr,2,2,0.48,0.44,837.7219039570978,0.17465822270236672,0.9433371755379734,1.0,7.0,0.6822145770894231,0.5395374128755785
sinr,3,3,0.46,0.48,876.339053208038,0.13661177023838625,1.0326115571754515,1.0,7.0,0.6983212585172288,0.639841696644254
sinr,4,4,0.42,0.36,728.7491226396103,0.28202056882797016,1.713114231500371,1.0,7.0,0.2988218847832868,0.2564912276353512
sinr,5,5,0.34,0.34,814.2583881668559,0.19777498702772822,1.6171626307894276,1.0,7.0,0.6608813448666637,0.47859321601780713
