policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,sweep,parameter,value,runtime_s
oracle,1.0,618.2129196812001,0.3909232318411823,0.0,0.3293333333333333,4.0,1.6358933949684342,bandwidth,bandwidth_mhz,10.0,7.723431124992203
flat_mlp,0.5640000000000001,1020.0090022323121,-0.0049349775687803354,1.0491069865516354,0.28,6.8,1.3570739864497192,bandwidth,bandwidth_mhz,10.0,7.723431124992203
rsrp,0.5493333333333333,1041.6004188493173,-0.02620730921115009,1.1173292114738458,0.28,7.0,1.3553194551732717,bandwidth,bandwidth_mhz,10.0,7.723431124992203
sinr,0.5493333333333333,1041.6004188493173,-0.02620730921115009,1.1173292114738458,0.28,7.0,1.3553194551732717,bandwidth,bandwidth_mhz,10.0,7.723431124992203
agg_gcn,0.5533333333333333,1020.8930441700365,-0.005805954847326734,1.0501871832916703,0.2706666666666667,6.8,1.367527830676522,bandwidth,bandwidth_mhz,10.0,7.723431124992203
attn_ml_gcn,0.5533333333333333,1020.8930441700365,-0.005805954847326734,1.0501871832916703,0.2706666666666667,6.8,1.367527830676522,bandwidth,bandwidth_mhz,10.0,7.723431124992203
ml_gcn,0.5533333333333333,1020.8930441700365,-0.005805954847326734,1.0501871832916703,0.2706666666666667,6.8,1.367527830676522,bandwidth,bandwidth_mhz,10.0,7.723431124992203
load_aware,0.5466666666666666,1044.4937596527675,-0.029057891283514756,1.1193988714144443,0.2613333333333333,7.0,1.3615529674532043,bandwidth,bandwidth_mhz,10.0,7.723431124992203
oracle,1.0,381.20899302852115,0.6244246374103241,0.0,1.0,2.6,0.8115667339387712,bandwidth,bandwidth_mhz,20.0,7.304040457995143
agg_gcn,0.4746666666666667,470.35007531441045,0.5366009110202853,0.2559196228437252,1.0,3.3333333333333335,0.8177442097980933,bandwidth,bandwidth_mhz,20.0,7.304040457995143
flat_mlp,0.49599999999999994,472.815058963414,0.5341723557010699,0.25429053095492565,1.0,3.3333333333333335,0.8234405952447013,bandwidth,bandwidth_mhz,20.0,7.304040457995143
attn_ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,bandwidth,bandwidth_mhz,20.0,7.304040457995143
ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,bandwidth,bandwidth_mhz,20.0,7.304040457995143
rsrp,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,bandwidth,bandwidth_mhz,20.0,7.304040457995143
sinr,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,bandwidth,bandwidth_mhz,20.0,7.304040457995143
load_aware,0.412,855.1756633364924,0.1574624006537021,1.2957661209871045,0.9866666666666667,7.0,0.6807764837266022,bandwidth,bandwidth_mhz,20.0,7.304040457995143
oracle,1.0,256.50427466682214,0.7472864288996827,0.0,1.0,1.8,0.560519266231129,bandwidth,bandwidth_mhz,40.0,8.597030208038632
attn_ml_gcn,0.31466666666666665,303.6545797291987,0.7008329263751737,0.21732055415040694,1.0,2.2,0.5808934017251133,bandwidth,bandwidth_mhz,40.0,8.597030208038632
ml_gcn,0.3333333333333333,304.1356902964836,0.7003589258162725,0.21904785446046812,1.0,2.2,0.5848389127855095,bandwidth,bandwidth_mhz,40.0,8.597030208038632
agg_gcn,0.24533333333333335,305.020004064295,0.6994876807248325,0.22517816881629354,1.0,2.2,0.5887263889118706,bandwidth,bandwidth_mhz,40.0,8.597030208038632
flat_mlp,0.29733333333333334,310.33557127363895,0.6942506686959222,0.23453370174220795,1.0,2.2,0.6344391046368651,bandwidth,bandwidth_mhz,40.0,8.597030208038632
rsrp,0.28,732.2795095817019,0.2785423550919194,1.937263849206625,1.0,7.0,0.3410280392138118,bandwidth,bandwidth_mhz,40.0,8.597030208038632
sinr,0.28,732.2795095817019,0.2785423550919194,1.937263849206625,1.0,7.0,0.3410280392138118,bandwidth,bandwidth_mhz,40.0,8.597030208038632
load_aware,0.2706666666666667,742.5878316682462,0.26838637274064414,1.978338551479235,1.0,7.0,0.3403882418633011,bandwidth,bandwidth_mhz,40.0,8.597030208038632
oracle,1.0,174.72907321337559,0.8278531298390388,0.0,1.0,1.0,0.6678013311522831,bandwidth,bandwidth_mhz,80.0,7.135509999992792
flat_mlp,0.7653333333333333,189.50201757988526,0.8132985048474037,0.08645131045733004,1.0,1.1333333333333333,0.6768515708722588,bandwidth,bandwidth_mhz,80.0,7.135509999992792
attn_ml_gcn,0.7653333333333333,192.6616958197591,0.8101855213598432,0.1020140325576996,1.0,1.2,0.6143109062110791,bandwidth,bandwidth_mhz,80.0,7.135509999992792
ml_gcn,0.7653333333333333,192.6616958197591,0.8101855213598432,0.1020140325576996,1.0,1.2,0.6143109062110791,bandwidth,bandwidth_mhz,80.0,7.135509999992792
agg_gcn,0.6626666666666666,194.39952402851608,0.8084733753413634,0.10929825060454787,1.0,1.2,0.6456839186101458,bandwidth,bandwidth_mhz,80.0,7.135509999992792
rsrp,0.128,679.8646491504735,0.3301826116744103,2.903697586466981,1.0,7.0,0.1730620505816732,bandwidth,bandwidth_mhz,80.0,7.135509999992792
sinr,0.128,679.8646491504735,0.3301826116744103,2.903697586466981,1.0,7.0,0.1730620505816732,bandwidth,bandwidth_mhz,80.0,7.135509999992792
load_aware,0.128,686.2939158341231,0.32384835878411516,2.9403626749447147,1.0,7.0,0.17019412093165054,bandwidth,bandwidth_mhz,80.0,7.135509999992792
oracle,1.0,381.20899302852115,0.6244246374103241,0.0,1.0,2.6,0.8115667339387712,qos,qos_mbps,0.5,7.326833166996948
agg_gcn,0.4746666666666667,470.35007531441045,0.5366009110202853,0.2559196228437252,1.0,3.3333333333333335,0.8177442097980933,qos,qos_mbps,0.5,7.326833166996948
flat_mlp,0.49599999999999994,472.815058963414,0.5341723557010699,0.25429053095492565,1.0,3.3333333333333335,0.8234405952447013,qos,qos_mbps,0.5,7.326833166996948
attn_ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,qos,qos_mbps,0.5,7.326833166996948
ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,qos,qos_mbps,0.5,7.326833166996948
rsrp,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,qos,qos_mbps,0.5,7.326833166996948
sinr,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,qos,qos_mbps,0.5,7.326833166996948
load_aware,0.412,855.1756633364924,0.1574624006537021,1.2957661209871045,0.9866666666666667,7.0,0.6807764837266022,qos,qos_mbps,0.5,7.326833166996948
oracle,1.0,381.20899302852115,0.6244246374103241,0.0,1.0,2.6,0.8115667339387712,qos,qos_mbps,1.0,8.007430666009896
agg_gcn,0.4746666666666667,470.35007531441045,0.5366009110202853,0.2559196228437252,1.0,3.3333333333333335,0.8177442097980933,qos,qos_mbps,1.0,8.007430666009896
flat_mlp,0.49599999999999994,472.815058963414,0.5341723557010699,0.25429053095492565,1.0,3.3333333333333335,0.8234405952447013,qos,qos_mbps,1.0,8.007430666009896
attn_ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,qos,qos_mbps,1.0,8.007430666009896
ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,qos,qos_mbps,1.0,8.007430666009896
rsrp,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,qos,qos_mbps,1.0,8.007430666009896
sinr,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,qos,qos_mbps,1.0,8.007430666009896
load_aware,0.412,855.1756633364924,0.1574624006537021,1.2957661209871045,0.9866666666666667,7.0,0.6807764837266022,qos,qos_mbps,1.0,8.007430666009896
oracle,1.0,381.20899302852115,0.6244246374103241,0.0,1.0,2.6,0.8115667339387712,qos,qos_mbps,1.5,7.000415541988332
agg_gcn,0.4746666666666667,470.35007531441045,0.5366009110202853,0.2559196228437252,1.0,3.3333333333333335,0.8177442097980933,qos,qos_mbps,1.5,7.000415541988332
flat_mlp,0.49599999999999994,472.815058963414,0.5341723557010699,0.25429053095492565,1.0,3.3333333333333335,0.8234405952447013,qos,qos_mbps,1.5,7.000415541988332
attn_ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,qos,qos_mbps,1.5,7.000415541988332
ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,qos,qos_mbps,1.5,7.000415541988332
rsrp,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,qos,qos_mbps,1.5,7.000415541988332
sinr,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,qos,qos_mbps,1.5,7.000415541988332
load_aware,0.412,855.1756633364924,0.1574624006537021,1.2957661209871045,0.9866666666666667,7.0,0.6807764837266022,qos,qos_mbps,1.5,7.000415541988332
oracle,1.0,381.20899302852115,0.6244246374103241,0.0,1.0,2.6,0.8115667339387712,qos,qos_mbps,2.0,7.117527834023349
agg_gcn,0.4746666666666667,470.35007531441045,0.5366009110202853,0.2559196228437252,1.0,3.3333333333333335,0.8177442097980933,qos,qos_mbps,2.0,7.117527834023349
flat_mlp,0.49599999999999994,472.815058963414,0.5341723557010699,0.25429053095492565,1.0,3.3333333333333335,0.8234405952447013,qos,qos_mbps,2.0,7.117527834023349
attn_ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,qos,qos_mbps,2.0,7.117527834023349
ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,qos,qos_mbps,2.0,7.117527834023349
rsrp,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,qos,qos_mbps,2.0,7.117527834023349
sinr,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,qos,qos_mbps,2.0,7.117527834023349
load_aware,0.412,855.1756633364924,0.1574624006537021,1.2957661209871045,0.9866666666666667,7.0,0.6807764837266022,qos,qos_mbps,2.0,7.117527834023349
oracle,1.0,265.6668584587279,0.7382592527500217,0.0,1.0,1.8,0.6684488946674105,density,num_ues,30.0,4.9882782910135575
attn_ml_gcn,0.2755555555555556,298.837971777105,0.7055783529289605,0.15032792466714065,1.0,2.066666666666667,0.6718132661380876,density,num_ues,30.0,4.9882782910135575
ml_gcn,0.26222222222222225,299.02129907876804,0.7053977348977655,0.15114534524055265,1.0,2.066666666666667,0.6755191249181068,density,num_ues,30.0,4.9882782910135575
agg_gcn,0.2555555555555556,307.9200030926116,0.6966305388250132,0.1975477409107667,1.0,2.1333333333333333,0.6832335627935588,density,num_ues,30.0,4.9882782910135575
flat_mlp,0.28,318.1796974780746,0.6865224655388428,0.23215192352439976,1.0,2.2,0.7114130355024942,density,num_ues,30.0,4.9882782910135575
rsrp,0.28444444444444444,745.6197727637295,0.2653992386564242,1.8965357509763896,1.0,6.933333333333334,0.46744627892150886,density,num_ues,30.0,4.9882782910135575
sinr,0.28444444444444444,745.6197727637295,0.2653992386564242,1.8965357509763896,1.0,6.933333333333334,0.46744627892150886,density,num_ues,30.0,4.9882782910135575
load_aware,0.28,761.0864688030044,0.2501611144797986,1.954494291919197,1.0,7.0,0.460816599741758,density,num_ues,30.0,4.9882782910135575
oracle,1.0,381.20899302852115,0.6244246374103241,0.0,1.0,2.6,0.8115667339387712,density,num_ues,50.0,7.015316665987484
agg_gcn,0.4746666666666667,470.35007531441045,0.5366009110202853,0.2559196228437252,1.0,3.3333333333333335,0.8177442097980933,density,num_ues,50.0,7.015316665987484
flat_mlp,0.49599999999999994,472.815058963414,0.5341723557010699,0.25429053095492565,1.0,3.3333333333333335,0.8234405952447013,density,num_ues,50.0,7.015316665987484
attn_ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,density,num_ues,50.0,7.015316665987484
ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,density,num_ues,50.0,7.015316665987484
rsrp,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,density,num_ues,50.0,7.015316665987484
sinr,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,density,num_ues,50.0,7.015316665987484
load_aware,0.412,855.1756633364924,0.1574624006537021,1.2957661209871045,0.9866666666666667,7.0,0.6807764837266022,density,num_ues,50.0,7.015316665987484
agg_gcn,0.5619047619047619,722.2218387588949,0.2884513903853252,0.2330586486256012,0.9723809523809523,5.133333333333334,0.9353630977517688,density,num_ues,70.0,10.551563458982855
attn_ml_gcn,0.5514285714285715,727.2926453566829,0.283455521816076,0.2365413829082371,0.9723809523809523,5.2,0.915680615462723,density,num_ues,70.0,10.551563458982855
ml_gcn,0.5285714285714286,729.6233631879352,0.28115924809070425,0.24148906914709084,0.9723809523809523,5.2,0.9265528827527818,density,num_ues,70.0,10.551563458982855
flat_mlp,0.5714285714285714,743.6675308603757,0.2673226296942111,0.2688048377711217,0.9723809523809523,5.333333333333333,0.9083721490995635,density,num_ues,70.0,10.551563458982855
rsrp,0.5571428571428572,907.200669442176,0.10620623700278221,0.5751763116761306,0.9723809523809523,7.0,0.8174631365757421,density,num_ues,70.0,10.551563458982855
sinr,0.5571428571428572,907.200669442176,0.10620623700278221,0.5751763116761306,0.9723809523809523,7.0,0.8174631365757421,density,num_ues,70.0,10.551563458982855
oracle,1.0,602.3983731095406,0.4065040659019305,0.0,0.9638095238095238,4.133333333333334,0.9496077408074312,density,num_ues,70.0,10.551563458982855
load_aware,0.5580952380952381,928.1480242209551,0.08556844904339397,0.6107840826130864,0.9552380952380953,7.0,0.8352312017749237,density,num_ues,70.0,10.551563458982855
rsrp,0.6148148148148148,934.5941587914521,0.07921757754536739,0.6534095458386836,0.8948148148148148,7.0,0.8670339351225249,density,num_ues,90.0,13.238305416016374
sinr,0.6148148148148148,934.5941587914521,0.07921757754536739,0.6534095458386836,0.8948148148148148,7.0,0.8670339351225249,density,num_ues,90.0,13.238305416016374
attn_ml_gcn,0.6814814814814815,805.5154708463135,0.20638869867358273,0.42510890973773485,0.8755555555555555,5.666666666666667,0.9769754807398053,density,num_ues,90.0,13.238305416016374
ml_gcn,0.6814814814814815,805.5154708463135,0.20638869867358273,0.42510890973773485,0.8755555555555555,5.666666666666667,0.9769754807398053,density,num_ues,90.0,13.238305416016374
load_aware,0.6022222222222222,945.040146958653,0.06892596358753383,0.6728247915410714,0.8755555555555555,7.0,0.8826556645262156,density,num_ues,90.0,13.238305416016374
flat_mlp,0.6785185185185185,827.2666345974171,0.18495898069219996,0.4491646979530684,0.8748148148148148,5.8,0.9804262552506493,density,num_ues,90.0,13.238305416016374
oracle,1.0,616.8904796657911,0.3922261284080876,0.0,0.8666666666666667,4.2,1.1415471191534443,density,num_ues,90.0,13.238305416016374
agg_gcn,0.6785185185185185,818.2243938579365,0.19386759225819053,0.4459138102082342,0.8666666666666667,5.733333333333333,0.9963445395002246,density,num_ues,90.0,13.238305416016374
oracle,1.0,389.823953252175,0.6159369918697783,0.0,1.0,2.6,0.8735154231412388,shadowing,shadowing_db,2.0,7.2586381250293925
attn_ml_gcn,0.5666666666666667,465.77920017755997,0.541104236278266,0.23577910194944032,1.0,3.2666666666666666,0.8289534909019192,shadowing,shadowing_db,2.0,7.2586381250293925
ml_gcn,0.5666666666666667,465.77920017755997,0.541104236278266,0.23577910194944032,1.0,3.2666666666666666,0.8289534909019192,shadowing,shadowing_db,2.0,7.2586381250293925
agg_gcn,0.4706666666666666,498.5948222713233,0.5087735741169228,0.31447874117928254,1.0,3.533333333333333,0.8251948606033962,shadowing,shadowing_db,2.0,7.2586381250293925
flat_mlp,0.47600000000000003,505.76709928545046,0.5017072913443837,0.33265927660958355,1.0,3.6,0.8273718886721738,shadowing,shadowing_db,2.0,7.2586381250293925
rsrp,0.396,844.7614250160336,0.167722733974351,1.2696518344491572,1.0,7.0,0.6794675711065743,shadowing,shadowing_db,2.0,7.2586381250293925
sinr,0.396,844.7614250160336,0.167722733974351,1.2696518344491572,1.0,7.0,0.6794675711065743,shadowing,shadowing_db,2.0,7.2586381250293925
load_aware,0.39466666666666667,851.8119812381082,0.16077637316442547,1.2897317704465427,1.0,7.0,0.6740448081576046,shadowing,shadowing_db,2.0,7.2586381250293925
oracle,1.0,381.20899302852115,0.6244246374103241,0.0,1.0,2.6,0.8115667339387712,shadowing,shadowing_db,6.0,7.063108125003055
agg_gcn,0.4746666666666667,470.35007531441045,0.5366009110202853,0.2559196228437252,1.0,3.3333333333333335,0.8177442097980933,shadowing,shadowing_db,6.0,7.063108125003055
flat_mlp,0.49599999999999994,472.815058963414,0.5341723557010699,0.25429053095492565,1.0,3.3333333333333335,0.8234405952447013,shadowing,shadowing_db,6.0,7.063108125003055
attn_ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,shadowing,shadowing_db,6.0,7.063108125003055
ml_gcn,0.5559999999999999,491.82433035915545,0.515444009498369,0.3169143924003349,1.0,3.533333333333333,0.7970937365789983,shadowing,shadowing_db,6.0,7.063108125003055
rsrp,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,shadowing,shadowing_db,6.0,7.063108125003055
sinr,0.4186666666666667,840.5253777674885,0.1718961795394201,1.2619423524343132,0.9866666666666667,7.0,0.6733008369803757,shadowing,shadowing_db,6.0,7.063108125003055
load_aware,0.412,855.1756633364924,0.1574624006537021,1.2957661209871045,0.9866666666666667,7.0,0.6807764837266022,shadowing,shadowing_db,6.0,7.063108125003055
oracle,1.0,378.13782080340957,0.6274504228537836,0.0,1.0,2.6666666666666665,0.7463393229993066,shadowing,shadowing_db,10.0,7.362459666968789
ml_gcn,0.44,461.74448407101823,0.5450793260384058,0.23090854186553447,1.0,3.2666666666666666,0.796817496104061,shadowing,shadowing_db,10.0,7.362459666968789
flat_mlp,0.5293333333333333,462.35935486936745,0.5444735420006233,0.23199879835507026,1.0,3.3333333333333335,0.777348252965359,shadowing,shadowing_db,10.0,7.362459666968789
attn_ml_gcn,0.452,467.38188889463436,0.5395252326161237,0.2444321928087838,1.0,3.3333333333333335,0.784965768460322,shadowing,shadowing_db,10.0,7.362459666968789
agg_gcn,0.47200000000000003,477.5214142741448,0.5295355524392663,0.26795622901390087,1.0,3.4,0.7942892415031401,shadowing,shadowing_db,10.0,7.362459666968789
rsrp,0.4066666666666666,826.3014910292007,0.18590986105497462,1.2248371911149367,1.0,7.0,0.6358058579681141,shadowing,shadowing_db,10.0,7.362459666968789
sinr,0.4066666666666666,826.3014910292007,0.18590986105497462,1.2248371911149367,1.0,7.0,0.6358058579681141,shadowing,shadowing_db,10.0,7.362459666968789
load_aware,0.4053333333333333,836.0589101293408,0.1762966402666593,1.2514700519091817,1.0,7.0,0.6423934324370306,shadowing,shadowing_db,10.0,7.362459666968789
oracle,1.0,372.41938732081314,0.6330843474671791,0.0,1.0,2.7333333333333334,0.6688564766126476,shadowing,shadowing_db,14.0,6.973622666031588
agg_gcn,0.40800000000000003,440.5337410314393,0.565976609821242,0.20049991125410824,1.0,3.2,0.7460746964157783,shadowing,shadowing_db,14.0,6.973622666031588
ml_gcn,0.38,458.2277113667982,0.5485441267322185,0.2457262783060234,1.0,3.3333333333333335,0.7544091611923632,shadowing,shadowing_db,14.0,6.973622666031588
attn_ml_gcn,0.396,458.27985968193565,0.5484927490818368,0.2458601586571321,1.0,3.3333333333333335,0.7542692393468627,shadowing,shadowing_db,14.0,6.973622666031588
flat_mlp,0.4293333333333333,476.046674782374,0.5309884977513557,0.28895223717374496,1.0,3.533333333333333,0.7189862213171843,shadowing,shadowing_db,14.0,6.973622666031588
rsrp,0.41733333333333333,803.8656657663968,0.20801412239763856,1.1932918705421778,1.0,7.0,0.5964584685075459,shadowing,shadowing_db,14.0,6.973622666031588
sinr,0.41733333333333333,803.8656657663968,0.20801412239763856,1.1932918705421778,1.0,7.0,0.5964584685075459,shadowing,shadowing_db,14.0,6.973622666031588
load_aware,0.41733333333333333,817.2266452563119,0.1948505958065893,1.2302414232315029,1.0,7.0,0.6144571953184674,shadowing,shadowing_db,14.0,6.973622666031588
