policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,mean_active_load
rsrp,0,0,0.5625,0.55,890.1776121113699,0.1229777220577637,0.49427613045072916,1.0,7.0,0.7543192716182274,0.6757860054840779
rsrp,1,1,0.475,0.4875,843.676256208174,0.1687918658047547,0.9351092182410373,1.0,7.0,0.6375391822862515,0.5550032628783738
rsrp,2,2,0.7625,0.75,1016.8171780134484,-0.001790323165958985,0.1551431515152754,0.3875,7.0,1.1175186816957967,1.0047199428920734
rsrp,3,3,0.2875,0.3,1041.878184005414,-0.026480969463461984,1.9143445706445144,0.225,7.0,1.218781642160609,1.069813464949127
rsrp,4,4,0.325,0.375,1111.25,-0.09482758620689655,2.1083916083916083,0.0,7.0,1.5127649300864479,1.4473402100323551
rsrp,5,5,0.625,0.6,945.7061637150264,0.06826978944332376,0.6435675726905933,1.0,7.0,0.9342826641981988,0.8200160096494188
rsrp,6,6,0.675,0.7125,942.5946694009406,0.07133530108281717,0.30477276739437187,1.0,7.0,0.8469748569766208,0.8119342062362099
rsrp,7,7,0.5375,0.5,910.891619625181,0.1025698328815951,1.0264202612155275,1.0,7.0,0.7718271981333304,0.7295886224030671
rsrp,8,8,0.5875,0.5625,897.506257567423,0.11575738170697246,0.5493488061012519,1.0,7.0,0.7486382619153229,0.6948214482270725
rsrp,9,9,0.75,0.7125,891.1095233412625,0.12205958291501232,0.2654567925520165,1.0,7.0,0.7833741393899984,0.6782065541331492
rsrp,10,10,0.6875,0.675,934.8101570029771,0.0790047714256383,0.3488671824216553,1.0,7.0,0.8991907011310872,0.7917146935142266
rsrp,11,11,0.5875,0.55,886.9702231695233,0.12613771116303127,0.5007906805562737,1.0,7.0,0.7723399889832495,0.6674551251156452
rsrp,12,12,0.85,0.8875,1005.5187633918922,0.009341119810943639,-0.008554169903890093,0.775,7.0,1.0593789941425769,0.975373411407512
rsrp,13,13,0.6375,0.5875,900.86764435001,0.11244567059112318,0.5532933998321032,1.0,7.0,0.7631521008459523,0.703552322987039
rsrp,14,14,0.6,0.625,923.4641945080426,0.09018305959798756,0.5782427126403025,1.0,7.0,0.831868671383267,0.7622446610598511
rsrp,15,15,0.575,0.5,824.0087759508617,0.18816869364447122,0.9413098008270555,1.0,7.0,0.6215974148190616,0.5039188985736672
rsrp,16,16,0.8375,1.0,1007.7224171367595,0.007170032377576816,0.0,0.575,7.0,1.092313874678684,0.9810971873682066
rsrp,17,17,0.5375,0.5625,894.7214951555101,0.11850098999457136,0.549630740100241,1.0,7.0,0.748226657986257,0.6875882991052208
rsrp,18,18,0.7625,0.7625,941.2662129507528,0.07264412517167212,0.3839136708204227,1.0,7.0,0.8992875968959386,0.8084836700019552
rsrp,19,19,0.7125,0.725,1046.9233200529047,-0.03145154685015244,0.40048593922186343,0.1375,7.0,1.1870928096370452,1.0829177144231288
rsrp,20,20,0.5375,0.4875,884.9272994428412,0.1281504438986786,1.036000815733307,1.0,7.0,0.7092344524454891,0.6621488297216657
rsrp,21,21,0.85,0.8,1020.878927091191,-0.0057920463952620994,0.15688332801052338,0.525,7.0,1.0913440012813627,1.0152699404966001
rsrp,22,22,0.625,0.575,875.4641323434231,0.1374737612380068,0.5290900471527202,1.0,7.0,0.7047229896303278,0.637569174917982
rsrp,23,23,0.5875,0.55,891.5651647026673,0.12161067516978592,0.5092230244001641,1.0,7.0,0.735882708714265,0.6793900381887462
rsrp,24,0,0.5375,0.5125,898.0476305876446,0.11522400927325659,0.5271210245429401,1.0,7.0,0.7581555684339442,0.6962276119159599
rsrp,25,1,0.8125,0.8125,1033.4873844521367,-0.018214171874026273,0.1945925611749702,0.15,7.0,1.1267745276000813,1.04801918039516
rsrp,26,2,0.575,0.5625,846.558981779108,0.1659517420895488,0.5020721675994935,1.0,7.0,0.656750379126986,0.5624908617639168
rsrp,27,3,0.6625,0.6125,958.6478129188829,0.05551939613903163,0.6165786838233787,1.0,7.0,0.9455165820861855,0.8536306829061895
rsrp,28,4,0.6625,0.5875,919.7087722201466,0.09388298303433837,0.5448512377849313,1.0,7.0,0.8872416903195667,0.7524903174549261
rsrp,29,5,0.7375,0.7875,969.6569589505183,0.04467294684678001,0.134553697071465,1.0,7.0,0.948250427225553,0.8822258674039436
rsrp,30,6,0.6,0.625,876.127550114315,0.1368201476706256,0.5482669465312193,1.0,7.0,0.7109606757041893,0.6392923379592599
rsrp,31,7,0.7,0.6375,909.1731489897535,0.10426290739925764,0.30560701474568785,1.0,7.0,0.774184228399501,0.7251250623110481
rsrp,32,8,0.9,0.925,972.6822185409724,0.041692395526135594,-0.012650654017682391,0.8875,7.0,1.0066995962164371,0.8900836845220065
rsrp,33,9,0.4625,0.4875,855.1725217914184,0.1574654957720016,0.49329934096036304,1.0,7.0,0.6706896810717994,0.5848636929647227
rsrp,34,10,0.75,0.7,965.8710804159805,0.04840287643745765,0.34848842752430276,1.0,7.0,0.9738456784230315,0.8723924166648841
rsrp,35,11,0.775,0.8625,987.2060666006131,0.027383185615159508,-0.024859385094230572,0.6875,7.0,1.0569804025938927,0.9278079651963972
rsrp,36,12,0.4875,0.45,905.7739747083676,0.10761184757796292,0.9949012297642104,1.0,7.0,0.8217433779330429,0.7162960382035521
rsrp,37,13,0.475,0.5125,879.2595320234714,0.1337344512084026,0.5118854656049661,1.0,7.0,0.7243521822274107,0.6474273559051207
rsrp,38,14,0.65,0.6625,908.7833954302014,0.10464690105398879,0.2917500290379509,1.0,7.0,0.7775364075776717,0.7241127154031203
rsrp,39,15,0.7625,0.7625,971.1042757179164,0.04324701899712672,0.38483977825766946,1.0,7.0,0.9938363604824488,0.8859851317348477
rsrp,40,16,0.6125,0.4875,1000.4901338319635,0.014295434648311846,0.6764224415635787,0.65,7.0,1.0248437463619864,0.9623120359271777
rsrp,41,17,0.6375,0.625,939.0344941373187,0.07484286291889784,0.5948426155826524,1.0,7.0,0.847290710160046,0.8026869977592693
rsrp,42,18,0.7125,0.7125,927.05964428752,0.08664074454431529,0.31779752529940203,1.0,7.0,0.818230479660714,0.7715834916558961
rsrp,43,19,0.6125,0.625,920.8472688002676,0.09276131152683,0.5967893250337076,1.0,7.0,0.8259718587935683,0.7554474514292661
rsrp,44,20,0.675,0.7,886.527479127708,0.12657391218945022,0.24973443520745187,1.0,7.0,0.722044066884068,0.6663051405914494
rsrp,45,21,0.5625,0.5,832.5199403117862,0.17978331003764908,0.9121066340764864,1.0,7.0,0.6319378726934395,0.5260258189916521
rsrp,46,22,0.45,0.4625,856.1282215964336,0.15652391960942502,0.9989322003329467,1.0,7.0,0.6458667969378044,0.5873460301206066
rsrp,47,23,0.55,0.575,929.3475471914165,0.08438665301338272,0.6143782327392137,1.0,7.0,0.8715226247369154,0.777526096601082
rsrp,48,0,0.7,0.7,981.5746879119095,0.0329313419587099,0.3440038518019744,1.0,7.0,0.9660704884608008,0.9131810075634006
rsrp,49,1,0.7875,0.825,1034.1824654856043,-0.01889898077399441,0.15489653391049643,0.1375,7.0,1.0982189551601662,1.0498245856768942
rsrp,50,2,0.775,0.775,988.3422757988627,0.02626376768584954,0.15406673553317654,1.0,7.0,0.9861474556417245,0.9307591579191239
rsrp,51,3,0.725,0.7625,952.149953087727,0.06192122848499803,0.11182427295281419,1.0,7.0,0.898653430579701,0.8367531249031867
rsrp,52,4,0.6625,0.625,930.5829525615416,0.0831695048654763,0.2864894345495768,1.0,7.0,0.8497656839429444,0.7807349417182897
rsrp,53,5,0.3625,0.3625,846.8337754605835,0.16568100939843988,0.9032622253218373,1.0,7.0,0.6574785593620899,0.5632046115859309
rsrp,54,6,0.6625,0.675,970.9390967191505,0.043409756926945334,0.3425431656809261,1.0,7.0,0.9438157531149738,0.8855560953744168
rsrp,55,7,0.55,0.525,903.8673754438593,0.10949027049866082,0.5431610238414307,1.0,7.0,0.8099153047243205,0.7113438323217122
rsrp,56,8,0.5625,0.6375,933.3555842883561,0.08043784799176738,0.6499616655889271,1.0,7.0,0.866748398620811,0.7879365825671585
rsrp,57,9,0.625,0.6,935.7388406727923,0.07808981214503219,0.558164013854528,1.0,7.0,0.8741976337996615,0.7941268588903696
rsrp,58,10,0.65,0.6,907.6114180708613,0.10580155855087556,0.5588093175853068,1.0,7.0,0.7893581528466258,0.7210686183658738
rsrp,59,11,0.55,0.55,876.0539903427746,0.13689262035194624,0.516995633493176,1.0,7.0,0.7178241412973014,0.639101273617596
sinr,0,0,0.5625,0.55,890.1776121113699,0.1229777220577637,0.49427613045072916,1.0,7.0,0.7543192716182274,0.6757860054840779
sinr,1,1,0.475,0.4875,843.676256208174,0.1687918658047547,0.9351092182410373,1.0,7.0,0.6375391822862515,0.5550032628783738
sinr,2,2,0.7625,0.75,1016.8171780134484,-0.001790323165958985,0.1551431515152754,0.3875,7.0,1.1175186816957967,1.0047199428920734
sinr,3,3,0.2875,0.3,1041.878184005414,-0.026480969463461984,1.9143445706445144,0.225,7.0,1.218781642160609,1.069813464949127
sinr,4,4,0.325,0.375,1111.25,-0.09482758620689655,2.1083916083916083,0.0,7.0,1.5127649300864479,1.4473402100323551
sinr,5,5,0.625,0.6,945.7061637150264,0.06826978944332376,0.6435675726905933,1.0,7.0,0.9342826641981988,0.8200160096494188
sinr,6,6,0.675,0.7125,942.5946694009406,0.07133530108281717,0.30477276739437187,1.0,7.0,0.8469748569766208,0.8119342062362099
sinr,7,7,0.5375,0.5,910.891619625181,0.1025698328815951,1.0264202612155275,1.0,7.0,0.7718271981333304,0.7295886224030671
sinr,8,8,0.5875,0.5625,897.506257567423,0.11575738170697246,0.5493488061012519,1.0,7.0,0.7486382619153229,0.6948214482270725
sinr,9,9,0.75,0.7125,891.1095233412625,0.12205958291501232,0.2654567925520165,1.0,7.0,0.7833741393899984,0.6782065541331492
sinr,10,10,0.6875,0.675,934.8101570029771,0.0790047714256383,0.3488671824216553,1.0,7.0,0.8991907011310872,0.7917146935142266
sinr,11,11,0.5875,0.55,886.9702231695233,0.12613771116303127,0.5007906805562737,1.0,7.0,0.7723399889832495,0.6674551251156452
sinr,12,12,0.85,0.8875,1005.5187633918922,0.009341119810943639,-0.008554169903890093,0.775,7.0,1.0593789941425769,0.975373411407512
sinr,13,13,0.6375,0.5875,900.86764435001,0.11244567059112318,0.5532933998321032,1.0,7.0,0.7631521008459523,0.703552322987039
sinr,14,14,0.6,0.625,923.4641945080426,0.09018305959798756,0.5782427126403025,1.0,7.0,0.831868671383267,0.7622446610598511
sinr,15,15,0.575,0.5,824.0087759508617,0.18816869364447122,0.9413098008270555,1.0,7.0,0.6215974148190616,0.5039188985736672
sinr,16,16,0.8375,1.0,1007.7224171367595,0.007170032377576816,0.0,0.575,7.0,1.092313874678684,0.9810971873682066
sinr,17,17,0.5375,0.5625,894.7214951555101,0.11850098999457136,0.549630740100241,1.0,7.0,0.748226657986257,0.6875882991052208
sinr,18,18,0.7625,0.7625,941.2662129507528,0.07264412517167212,0.3839136708204227,1.0,7.0,0.8992875968959386,0.8084836700019552
sinr,19,19,0.7125,0.725,1046.9233200529047,-0.03145154685015244,0.40048593922186343,0.1375,7.0,1.1870928096370452,1.0829177144231288
sinr,20,20,0.5375,0.4875,884.9272994428412,0.1281504438986786,1.036000815733307,1.0,7.0,0.7092344524454891,0.6621488297216657
sinr,21,21,0.85,0.8,1020.878927091191,-0.0057920463952620994,0.15688332801052338,0.525,7.0,1.0913440012813627,1.0152699404966001
