policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,386.89069974339725,0.6188268968045347,0.0,1.0,2.6,0.8479674243246815
agg_gcn_pruned,0.484,422.0076562697201,0.5842289100790936,0.08513078886292234,1.0,2.85,0.877901557130633
flat_mlp_pruned,0.52,423.16989303679986,0.5830838492248277,0.08910222444828854,1.0,2.85,0.8900530337871221
greedy_sleep,0.501,426.0365784750059,0.5802595285960532,0.09850681417568624,1.0,2.9,0.8540655966236995
load_sleep,0.501,426.0365784750059,0.5802595285960532,0.09850681417568624,1.0,2.9,0.8540655966236995
ml_gcn_pruned,0.491,434.3902192251152,0.5720293406649111,0.11441569331069397,1.0,2.95,0.8800365208868751
attn_ml_gcn_pruned,0.479,435.6028927512076,0.5708345884224555,0.1171667035368138,1.0,2.95,0.886112952497425
ml_gcn,0.44699999999999995,475.5692466590226,0.5314588702866772,0.24839667986997704,1.0,3.35,0.8208128479061851
agg_gcn,0.489,477.8264960885297,0.5292349792231235,0.24568071074828324,1.0,3.4,0.8116580073612092
flat_mlp,0.497,486.1533679867663,0.5210311645450579,0.27168659046900284,1.0,3.45,0.8186201004786515
attn_ml_gcn,0.446,486.2995437395031,0.5208871490251201,0.2694573191660376,1.0,3.45,0.8136861702853476
rsrp_sleep,0.5349999999999999,449.79531022711546,0.5568519111062902,0.15039063754338952,0.9949999999999999,3.15,0.8299294946529873
sinr_sleep,0.5349999999999999,449.79531022711546,0.5568519111062902,0.15039063754338952,0.9949999999999999,3.15,0.8299294946529873
rsrp,0.399,833.3247906835946,0.17899035400631075,1.2383425187452226,0.9949999999999999,7.0,0.6570951989212006
sinr,0.399,833.3247906835946,0.17899035400631075,1.2383425187452226,0.9949999999999999,7.0,0.6570951989212006
load_aware,0.396,839.5197629709803,0.17288693303351693,1.2550083429615388,0.9949999999999999,7.0,0.6543493416503701
