policy,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,0.6228 ± 0.0198,0.0000 ± 0.0000,1.0000 ± 0.0000,2.5900 ± 0.1449,0.8339 ± 0.0239
greedy_sleep,0.5973 ± 0.0260,0.0720 ± 0.0243,1.0000 ± 0.0000,2.7900 ± 0.1997,0.8416 ± 0.0281
load_sleep,0.5973 ± 0.0260,0.0720 ± 0.0243,1.0000 ± 0.0000,2.7900 ± 0.1997,0.8416 ± 0.0281
ml_gcn_pruned,0.5844 ± 0.0241,0.1065 ± 0.0255,1.0000 ± 0.0000,2.8750 ± 0.1830,0.8620 ± 0.0222
attn_ml_gcn_pruned,0.5843 ± 0.0253,0.1057 ± 0.0266,1.0000 ± 0.0000,2.8750 ± 0.1918,0.8637 ± 0.0212
flat_mlp_pruned,0.5839 ± 0.0253,0.1044 ± 0.0163,1.0000 ± 0.0000,2.8800 ± 0.2003,0.8624 ± 0.0226
agg_gcn_pruned,0.5817 ± 0.0279,0.1110 ± 0.0303,1.0000 ± 0.0000,2.9000 ± 0.2068,0.8581 ± 0.0252
ml_gcn,0.5247 ± 0.0300,0.2742 ± 0.0446,1.0000 ± 0.0000,3.4000 ± 0.2506,0.8354 ± 0.0223
attn_ml_gcn,0.5224 ± 0.0296,0.2791 ± 0.0424,1.0000 ± 0.0000,3.4200 ± 0.2463,0.8346 ± 0.0219
agg_gcn,0.5249 ± 0.0252,0.2712 ± 0.0231,1.0000 ± 0.0000,3.4050 ± 0.1964,0.8325 ± 0.0210
flat_mlp,0.5224 ± 0.0293,0.2761 ± 0.0263,1.0000 ± 0.0000,3.4200 ± 0.2429,0.8354 ± 0.0122
rsrp_sleep,0.5679 ± 0.0383,0.1386 ± 0.0540,0.9968 ± 0.0045,3.0950 ± 0.3192,0.8095 ± 0.0263
sinr_sleep,0.5679 ± 0.0383,0.1386 ± 0.0540,0.9968 ± 0.0045,3.0950 ± 0.3192,0.8095 ± 0.0263
rsrp,0.1793 ± 0.0119,1.2549 ± 0.0791,0.9954 ± 0.0054,7.0000 ± 0.0000,0.6450 ± 0.0396
sinr,0.1793 ± 0.0119,1.2549 ± 0.0791,0.9954 ± 0.0054,7.0000 ± 0.0000,0.6450 ± 0.0396
load_aware,0.1717 ± 0.0130,1.2753 ± 0.0791,0.9959 ± 0.0050,7.0000 ± 0.0000,0.6447 ± 0.0415
