policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
oracle,1.0,386.0661082859218,0.6196393021813578,0.0,1.0,2.6,0.850596034365459
greedy_sleep,0.724,399.65326464684307,0.6062529412346374,0.039592213083174864,1.0,2.7,0.8563667346074875
load_sleep,0.724,399.65326464684307,0.6062529412346374,0.039592213083174864,1.0,2.7,0.8563667346074875
ml_gcn_pruned,0.47700000000000004,422.0263948890994,0.5842104483851238,0.09742350095090606,1.0,2.85,0.8816681423019876
attn_ml_gcn_pruned,0.516,422.36314649656276,0.5838786734024012,0.09821313617233288,1.0,2.85,0.8802385306891403
agg_gcn_pruned,0.548,427.4205473273387,0.5788960124853807,0.11223099320835402,1.0,2.9,0.8701501928781766
rsrp_sleep,0.724,429.3633782670146,0.5769818933329907,0.09665112671396783,1.0,3.0,0.8234794491218548
sinr_sleep,0.724,429.3633782670146,0.5769818933329907,0.09665112671396783,1.0,3.0,0.8234794491218548
flat_mlp_pruned,0.506,437.528218586991,0.5689377156778413,0.1392198499533647,1.0,3.0,0.8597466287387243
ml_gcn,0.44000000000000006,486.2638248460515,0.5209223400531513,0.26970902509368977,1.0,3.4,0.8478639479390144
agg_gcn,0.483,487.2468351553125,0.5199538569898399,0.27784774800235573,1.0,3.45,0.8222117565832419
attn_ml_gcn,0.44299999999999995,487.2606946092743,0.5199402023553947,0.2720195227477191,1.0,3.4,0.8504925148865199
flat_mlp,0.46699999999999997,496.0204812695218,0.5113098706704219,0.294844833845448,1.0,3.5,0.8446073913605824
rsrp,0.41,848.3264688630312,0.1642103755044027,1.2675480426220553,0.986,7.0,0.6655372536338576
sinr,0.41,848.3264688630312,0.1642103755044027,1.2675480426220553,0.986,7.0,0.6655372536338576
load_aware,0.41200000000000003,855.7553154397656,0.15689131483766944,1.2878118743608293,0.986,7.0,0.6742629498822182
