policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,seed
oracle,1.0,410.85159274660083,0.5952201056683737,0.0,1.0,2.8,0.8571966703866671,11
ml_gcn_pruned,0.514,454.87769996112786,0.5518446305801696,0.1119670055378578,1.0,3.15,0.8525333332107247,11
attn_ml_gcn_pruned,0.504,455.2789986621556,0.5514492624018171,0.11255776896867098,1.0,3.15,0.859839343591393,11
flat_mlp_pruned,0.5469999999999999,456.3096163296949,0.5504338755372464,0.1104726286760033,1.0,3.15,0.871244690979446,11
greedy_sleep,0.572,457.5428676805046,0.5492188495758576,0.11453308526606969,1.0,3.2,0.8257586085348919,11
load_sleep,0.572,457.5428676805046,0.5492188495758576,0.11453308526606969,1.0,3.2,0.8257586085348919,11
agg_gcn_pruned,0.46299999999999997,476.6452009396829,0.5303988168081941,0.1657920567798806,1.0,3.3,0.8770899409506441,11
agg_gcn,0.425,512.3208846856148,0.4952503599156504,0.26418222645256106,1.0,3.6,0.8713320693092765,11
ml_gcn,0.517,514.4058680658848,0.49319618909765045,0.27064546209542045,1.0,3.65,0.8433129982297995,11
attn_ml_gcn,0.515,519.515243005486,0.4881623221620828,0.28267516340714516,1.0,3.7,0.8365892984056785,11
flat_mlp,0.49400000000000005,536.7588147688031,0.4711735815085684,0.31647573702576814,1.0,3.85,0.8286936495301344,11
load_aware,0.42699999999999994,853.6331683899504,0.15898210010842326,1.1744293267126085,0.994,7.0,0.6843502807541731,11
rsrp_sleep,0.513,519.7472316537816,0.48793376191745663,0.2488683966847714,0.9890000000000001,3.8,0.8094688203087564,11
sinr_sleep,0.513,519.7472316537816,0.48793376191745663,0.2488683966847714,0.9890000000000001,3.8,0.8094688203087564,11
rsrp,0.42000000000000004,841.2231882592783,0.17120868151795232,1.142724912717531,0.9890000000000001,7.0,0.6849229176073419,11
sinr,0.42000000000000004,841.2231882592783,0.17120868151795232,1.142724912717531,0.9890000000000001,7.0,0.6849229176073419,11
oracle,1.0,347.5144584264529,0.6576212232251695,0.0,1.0,2.35,0.7910137967079779,13
greedy_sleep,0.653,371.620264823644,0.6338716602722719,0.06651345142152902,1.0,2.55,0.7937637427820111,13
load_sleep,0.653,371.620264823644,0.6338716602722719,0.06651345142152902,1.0,2.55,0.7937637427820111,13
agg_gcn_pruned,0.43600000000000005,379.2694035659676,0.6263355629891945,0.09490019633994064,1.0,2.6,0.8045598331143591,13
flat_mlp_pruned,0.44299999999999995,381.90385643148795,0.6237400429246425,0.1029948980327133,1.0,2.6,0.8256468018852974,13
rsrp_sleep,0.613,391.06296036799574,0.6147162952039451,0.12743800652529655,1.0,2.75,0.7558306807371229,13
sinr_sleep,0.613,391.06296036799574,0.6147162952039451,0.12743800652529655,1.0,2.75,0.7558306807371229,13
ml_gcn_pruned,0.284,391.5403384457058,0.6142459719746741,0.1319063097048082,1.0,2.65,0.8465064117978505,13
attn_ml_gcn_pruned,0.307,391.7543768620889,0.6140350966875971,0.13224236536431253,1.0,2.65,0.8489026399269136,13
agg_gcn,0.35300000000000004,434.02430481759154,0.572389847470353,0.25202615261105377,1.0,3.0,0.84571903326036,13
flat_mlp,0.389,437.22363735447453,0.5692377957098773,0.26765083317190586,1.0,3.05,0.8268309598195538,13
ml_gcn,0.27,449.77906671860626,0.5568679145629495,0.32048050215526713,1.0,3.15,0.8212807090688953,13
attn_ml_gcn,0.251,451.4884128392843,0.5551838297149908,0.32470608279905006,1.0,3.15,0.8319392018516385,13
rsrp,0.36100000000000004,810.0269791766448,0.20194386288015287,1.3838561878335838,1.0,7.0,0.5600870175053241,13
sinr,0.36100000000000004,810.0269791766448,0.20194386288015287,1.3838561878335838,1.0,7.0,0.5600870175053241,13
load_aware,0.35700000000000004,816.1014091654368,0.19595920279267307,1.4021071472755926,1.0,7.0,0.5610660485379674,13
oracle,1.0,374.1557727876485,0.6313736228693119,0.0,1.0,2.55,0.8105197550854711,17
attn_ml_gcn_pruned,0.6559999999999999,393.9695626940171,0.6118526475921013,0.06072586221650593,1.0,2.65,0.869003327359286,17
ml_gcn_pruned,0.6559999999999999,393.9695626940171,0.6118526475921013,0.06072586221650593,1.0,2.65,0.869003327359286,17
greedy_sleep,0.633,399.73630503233466,0.6061711280469609,0.07621851308788927,1.0,2.75,0.8178895371712231,17
load_sleep,0.633,399.73630503233466,0.6061711280469609,0.07621851308788927,1.0,2.75,0.8178895371712231,17
agg_gcn_pruned,0.5900000000000001,400.62776654124326,0.6052928408460657,0.074765132206856,1.0,2.7,0.8642100632221263,17
flat_mlp_pruned,0.592,408.14711981042853,0.5978846110242084,0.10046445701078484,1.0,2.8,0.8249522593317193,17
attn_ml_gcn,0.575,457.04016336419045,0.5497141247643443,0.24586763251833968,1.0,3.25,0.8010075637348079,17
ml_gcn,0.575,457.04016336419045,0.5497141247643443,0.24586763251833968,1.0,3.25,0.8010075637348079,17
flat_mlp,0.522,463.52566772940315,0.5433244652912284,0.25709120827185794,1.0,3.25,0.8241167059758352,17
agg_gcn,0.52,463.59440849359714,0.5432567404003968,0.2597049705962553,1.0,3.3,0.7973288511094463,17
rsrp_sleep,0.61,424.6994609684667,0.5815768857453529,0.130833992846985,0.99,3.0,0.7920279428723209,17
sinr_sleep,0.61,424.6994609684667,0.5815768857453529,0.130833992846985,0.99,3.0,0.7920279428723209,17
rsrp,0.41,834.1130050689804,0.178213788109379,1.2921093266216912,0.99,7.0,0.6562583820972296,17
sinr,0.41,834.1130050689804,0.178213788109379,1.2921093266216912,0.99,7.0,0.6562583820972296,17
load_aware,0.402,847.5880745442655,0.16493785759185658,1.3248324915529994,0.99,7.0,0.6612193040906028,17
oracle,1.0,386.0661082859218,0.6196393021813578,0.0,1.0,2.6,0.850596034365459,19
greedy_sleep,0.724,399.65326464684307,0.6062529412346374,0.039592213083174864,1.0,2.7,0.8563667346074875,19
load_sleep,0.724,399.65326464684307,0.6062529412346374,0.039592213083174864,1.0,2.7,0.8563667346074875,19
ml_gcn_pruned,0.47700000000000004,422.0263948890994,0.5842104483851238,0.09742350095090606,1.0,2.85,0.8816681423019876,19
attn_ml_gcn_pruned,0.516,422.36314649656276,0.5838786734024012,0.09821313617233288,1.0,2.85,0.8802385306891403,19
agg_gcn_pruned,0.548,427.4205473273387,0.5788960124853807,0.11223099320835402,1.0,2.9,0.8701501928781766,19
rsrp_sleep,0.724,429.3633782670146,0.5769818933329907,0.09665112671396783,1.0,3.0,0.8234794491218548,19
sinr_sleep,0.724,429.3633782670146,0.5769818933329907,0.09665112671396783,1.0,3.0,0.8234794491218548,19
flat_mlp_pruned,0.506,437.528218586991,0.5689377156778413,0.1392198499533647,1.0,3.0,0.8597466287387243,19
ml_gcn,0.44000000000000006,486.2638248460515,0.5209223400531513,0.26970902509368977,1.0,3.4,0.8478639479390144,19
agg_gcn,0.483,487.2468351553125,0.5199538569898399,0.27784774800235573,1.0,3.45,0.8222117565832419,19
attn_ml_gcn,0.44299999999999995,487.2606946092743,0.5199402023553947,0.2720195227477191,1.0,3.4,0.8504925148865199,19
flat_mlp,0.46699999999999997,496.0204812695218,0.5113098706704219,0.294844833845448,1.0,3.5,0.8446073913605824,19
rsrp,0.41,848.3264688630312,0.1642103755044027,1.2675480426220553,0.986,7.0,0.6655372536338576,19
sinr,0.41,848.3264688630312,0.1642103755044027,1.2675480426220553,0.986,7.0,0.6655372536338576,19
load_aware,0.41200000000000003,855.7553154397656,0.15689131483766944,1.2878118743608293,0.986,7.0,0.6742629498822182,19
oracle,1.0,386.89069974339725,0.6188268968045347,0.0,1.0,2.6,0.8479674243246815,23
agg_gcn_pruned,0.484,422.0076562697201,0.5842289100790936,0.08513078886292234,1.0,2.85,0.877901557130633,23
flat_mlp_pruned,0.52,423.16989303679986,0.5830838492248277,0.08910222444828854,1.0,2.85,0.8900530337871221,23
greedy_sleep,0.501,426.0365784750059,0.5802595285960532,0.09850681417568624,1.0,2.9,0.8540655966236995,23
load_sleep,0.501,426.0365784750059,0.5802595285960532,0.09850681417568624,1.0,2.9,0.8540655966236995,23
ml_gcn_pruned,0.491,434.3902192251152,0.5720293406649111,0.11441569331069397,1.0,2.95,0.8800365208868751,23
attn_ml_gcn_pruned,0.479,435.6028927512076,0.5708345884224555,0.1171667035368138,1.0,2.95,0.886112952497425,23
ml_gcn,0.44699999999999995,475.5692466590226,0.5314588702866772,0.24839667986997704,1.0,3.35,0.8208128479061851,23
agg_gcn,0.489,477.8264960885297,0.5292349792231235,0.24568071074828324,1.0,3.4,0.8116580073612092,23
flat_mlp,0.497,486.1533679867663,0.5210311645450579,0.27168659046900284,1.0,3.45,0.8186201004786515,23
attn_ml_gcn,0.446,486.2995437395031,0.5208871490251201,0.2694573191660376,1.0,3.45,0.8136861702853476,23
rsrp_sleep,0.5349999999999999,449.79531022711546,0.5568519111062902,0.15039063754338952,0.9949999999999999,3.15,0.8299294946529873,23
sinr_sleep,0.5349999999999999,449.79531022711546,0.5568519111062902,0.15039063754338952,0.9949999999999999,3.15,0.8299294946529873,23
rsrp,0.399,833.3247906835946,0.17899035400631075,1.2383425187452226,0.9949999999999999,7.0,0.6570951989212006,23
sinr,0.399,833.3247906835946,0.17899035400631075,1.2383425187452226,0.9949999999999999,7.0,0.6570951989212006,23
load_aware,0.396,839.5197629709803,0.17288693303351693,1.2550083429615388,0.9949999999999999,7.0,0.6543493416503701,23
oracle,1.0,403.91665953226277,0.6020525521849628,0.0,1.0,2.75,0.8484958899978198,29
greedy_sleep,0.563,432.37241250665494,0.5740173275796503,0.08111035353948971,1.0,2.95,0.8766657547178054,29
load_sleep,0.563,432.37241250665494,0.5740173275796503,0.08111035353948971,1.0,2.95,0.8766657547178054,29
agg_gcn_pruned,0.603,434.9020586768067,0.5715250653430476,0.08486601623820746,1.0,3.0,0.8631488830960622,29
attn_ml_gcn_pruned,0.568,439.2226417204024,0.5672683332803917,0.09097980788131708,1.0,3.0,0.891306490566414,29
ml_gcn_pruned,0.569,439.4827359929219,0.5670120827655942,0.09160461035470771,1.0,3.0,0.8926018974600023,29
flat_mlp_pruned,0.567,445.55282415599794,0.5610317003389182,0.10861877567300085,1.0,3.1,0.8555596368463633,29
flat_mlp,0.557,490.795627057477,0.5164575102882,0.23452251611407465,1.0,3.45,0.851778005545019,29
agg_gcn,0.483,500.91784575561724,0.5064848810289486,0.26147392746340953,1.0,3.55,0.8375529589226002,29
attn_ml_gcn,0.47800000000000004,507.0537986893552,0.5004396072026057,0.2755643479801525,1.0,3.6,0.8398198502629048,29
ml_gcn,0.47800000000000004,507.0537986893552,0.5004396072026057,0.2755643479801525,1.0,3.6,0.8398198502629048,29
rsrp_sleep,0.507,468.294975226736,0.5386256401707035,0.1847337713275689,0.994,3.3,0.8453259529212614,29
sinr_sleep,0.507,468.294975226736,0.5386256401707035,0.1847337713275689,0.994,3.3,0.8453259529212614,29
rsrp,0.43,840.1208481710689,0.17229473086594194,1.1480354458968813,0.994,7.0,0.6752097654034116,29
sinr,0.43,840.1208481710689,0.17229473086594194,1.1480354458968813,0.994,7.0,0.6752097654034116,29
load_aware,0.426,846.5225230782447,0.16598766199187714,1.1643367649225562,0.994,7.0,0.6733153157206715,29
oracle,1.0,359.5135722571322,0.6457994361998698,0.0,1.0,2.4,0.833268421452743,31
greedy_sleep,0.567,384.8564667373729,0.6208310672538198,0.0798845657950035,1.0,2.6,0.8410624531611639,31
load_sleep,0.567,384.8564667373729,0.6208310672538198,0.0798845657950035,1.0,2.6,0.8410624531611639,31
rsrp_sleep,0.7150000000000001,388.6814042748062,0.6170626558868905,0.07884924334843454,1.0,2.7,0.7987169465933601,31
sinr_sleep,0.7150000000000001,388.6814042748062,0.6170626558868905,0.07884924334843454,1.0,2.7,0.7987169465933601,31
flat_mlp_pruned,0.513,389.26142120437294,0.6164912106360857,0.0846485105727023,1.0,2.6,0.872849674575192,31
attn_ml_gcn_pruned,0.583,389.3601983710989,0.6163938932304445,0.08631686494138321,1.0,2.65,0.8354487932407346,31
ml_gcn_pruned,0.616,396.1555299281492,0.6096989852924638,0.10747508667152357,1.0,2.7,0.8318765252265719,31
agg_gcn_pruned,0.54,403.69486251839265,0.6022710714104506,0.13031320881937536,1.0,2.75,0.8350977757246293,31
ml_gcn,0.488,430.97157189037154,0.5753974661178606,0.20103951994656125,1.0,2.95,0.8578325223307219,31
attn_ml_gcn,0.48,435.05977533948663,0.571369679468486,0.2106612844778594,1.0,3.0,0.8497850646084659,31
flat_mlp,0.501,448.2213531875059,0.5584026076970385,0.2490349341471859,1.0,3.1,0.8536393377286091,31
agg_gcn,0.502,457.072917239077,0.5496818549368699,0.27053855452275377,1.0,3.2,0.8469033605556122,31
rsrp,0.372,829.311864245757,0.1829439761125546,1.3626806028677318,1.0,7.0,0.642974723245311,31
sinr,0.372,829.311864245757,0.1829439761125546,1.3626806028677318,1.0,7.0,0.642974723245311,31
load_aware,0.37,836.7196236061275,0.17564569102844588,1.3839998657801926,1.0,7.0,0.6352168578462848,31
oracle,1.0,369.11763421825617,0.6363373061889102,0.0,1.0,2.5,0.8153136678942283,37
greedy_sleep,0.6940000000000001,382.27142970296876,0.6233779017704741,0.04073966817073482,1.0,2.6,0.822338729540492,37
load_sleep,0.6940000000000001,382.27142970296876,0.6233779017704741,0.04073966817073482,1.0,2.6,0.822338729540492,37
flat_mlp_pruned,0.54,401.36648853677536,0.6045650359243593,0.08587310723648436,1.0,2.7,0.8686277330321653,37
ml_gcn_pruned,0.595,401.4762372913047,0.6044569090726062,0.08829414515797065,1.0,2.75,0.8278228095535749,37
attn_ml_gcn_pruned,0.5599999999999999,402.1565830885293,0.6037866176467692,0.08987358492054513,1.0,2.75,0.8292712387732495,37
agg_gcn_pruned,0.602,408.3815042023754,0.5976536904410095,0.1111225564582979,1.0,2.8,0.8342978013947224,37
rsrp_sleep,0.589,431.49554309753023,0.5748812383275566,0.15249945655674596,1.0,3.05,0.8034500692803933,37
sinr_sleep,0.589,431.49554309753023,0.5748812383275566,0.15249945655674596,1.0,3.05,0.8034500692803933,37
flat_mlp,0.515,476.00757017533977,0.5310270244577933,0.2682785417335055,1.0,3.35,0.8425476324124673,37
agg_gcn,0.483,479.5020526892257,0.5275841845426348,0.2889104046474254,1.0,3.4,0.8269677486473677,37
attn_ml_gcn,0.465,481.3528928480056,0.5257606967014723,0.2848916527123288,1.0,3.35,0.8779941032224405,37
ml_gcn,0.4640000000000001,481.45207691043254,0.5256629784133671,0.2852467162361029,1.0,3.35,0.8773819211223071,37
rsrp,0.39,817.2571000640397,0.19482059106991162,1.2659530416854887,1.0,7.0,0.5978645041298281,37
sinr,0.39,817.2571000640397,0.19482059106991162,1.2659530416854887,1.0,7.0,0.5978645041298281,37
load_aware,0.388,823.1598230826945,0.1890051004111385,1.2825305784027916,1.0,7.0,0.588554848104566,37
oracle,1.0,395.7786006600803,0.6100703441772607,0.0,1.0,2.7,0.8193546052534375,41
greedy_sleep,0.513,423.2252242680123,0.5830293356965395,0.07449016551133893,1.0,2.9,0.8416054786356902,41
load_sleep,0.513,423.2252242680123,0.5830293356965395,0.07449016551133893,1.0,2.9,0.8416054786356902,41
ml_gcn_pruned,0.507,431.6720624618749,0.5747073276237685,0.10547972812793305,1.0,2.95,0.857729851847043,41
attn_ml_gcn_pruned,0.512,436.2774284325187,0.57017002124875,0.11384738099316224,1.0,3.0,0.8579492776070607,41
flat_mlp_pruned,0.501,438.99486690295527,0.5674927419675317,0.1059877138858748,1.0,3.0,0.865302172250994,41
agg_gcn_pruned,0.496,439.6522750639002,0.5668450491981278,0.09801800612669835,1.0,3.0,0.8719192228420353,41
rsrp_sleep,0.47400000000000003,462.82363999302487,0.5440161182334731,0.15353031721482344,1.0,3.3,0.7974040130583584,41
sinr_sleep,0.47400000000000003,462.82363999302487,0.5440161182334731,0.15353031721482344,1.0,3.3,0.7974040130583584,41
attn_ml_gcn,0.461,492.93838447664956,0.514346419234828,0.25868656560681547,1.0,3.5,0.8185156222851833,41
ml_gcn,0.461,492.93838447664956,0.514346419234828,0.25868656560681547,1.0,3.5,0.8185156222851833,41
agg_gcn,0.425,493.2725261501158,0.5140172156156494,0.2651502314085264,1.0,3.5,0.822004862119704,41
flat_mlp,0.417,507.2693945506191,0.5002271974870748,0.29664681451339364,1.0,3.6,0.8269052571946617,41
rsrp,0.393,830.0277219980892,0.18223869753882835,1.2139323977551402,1.0,7.0,0.629843757770535,41
sinr,0.393,830.0277219980892,0.18223869753882835,1.2139323977551402,1.0,7.0,0.629843757770535,41
load_aware,0.4,835.7600078882382,0.1765911252332629,1.2286177522742308,1.0,7.0,0.6314057278857464,41
oracle,1.0,394.9866096976442,0.6108506308397594,0.0,1.0,2.65,0.8651706111132341,43
greedy_sleep,0.58,410.4289888233708,0.5956364642134278,0.04816806982602609,1.0,2.75,0.886634511292139,43
load_sleep,0.58,410.4289888233708,0.5956364642134278,0.04816806982602609,1.0,2.75,0.886634511292139,43
rsrp_sleep,0.625,420.2537081152451,0.5859569378174925,0.06210422572101615,1.0,2.9,0.8388949002638093,43
sinr_sleep,0.625,420.2537081152451,0.5859569378174925,0.06210422572101615,1.0,2.9,0.8388949002638093,43
flat_mlp_pruned,0.534,441.6702040124248,0.56485694185968,0.11663364222322954,1.0,3.0,0.8903430458211019,43
agg_gcn_pruned,0.44699999999999995,453.04108710039156,0.5536541013789245,0.15309226040519394,1.0,3.1,0.8830381871477074,43
ml_gcn_pruned,0.457,453.0646565811329,0.5536308802156326,0.15525146865857403,1.0,3.1,0.8801404662204249,43
attn_ml_gcn_pruned,0.449,453.17158235373216,0.5535255346268648,0.15548823719436394,1.0,3.1,0.8787364681400802,43
flat_mlp,0.433,506.0280293198454,0.5014502174188715,0.3052452799637787,1.0,3.6,0.8360991982130249,43
agg_gcn,0.395,516.2064270473545,0.4914222393622124,0.3269590516838028,1.0,3.65,0.8438007688379541,43
attn_ml_gcn,0.45899999999999996,529.2957659735873,0.4785263389422784,0.3667201808612787,1.0,3.8,0.8258216614529523,43
ml_gcn,0.45899999999999996,529.2957659735873,0.4785263389422784,0.3667201808612787,1.0,3.8,0.8258216614529523,43
rsrp,0.414,846.065554433812,0.16643787740511123,1.2338652060804338,1.0,7.0,0.6805601994396826,43
sinr,0.414,846.065554433812,0.16643787740511123,1.2338652060804338,1.0,7.0,0.6805601994396826,43
load_aware,0.41100000000000003,852.1646173227882,0.16042894845045497,1.24958310850279,1.0,7.0,0.683017187318,43
