policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load
agg_gcn,0.4558,482.1984698122036,0.5249276159485678,0.2712473978136427,1.0,3.405,0.8325479416706771
agg_gcn_pruned,0.5208999999999999,424.5642362205819,0.5817101120979489,0.11102312154457265,1.0,2.9,0.8581413457501096
attn_ml_gcn,0.45730000000000004,484.7304674884823,0.5224330369571604,0.27912497522767266,1.0,3.4200000000000004,0.834565105099594
attn_ml_gcn_pruned,0.5134,421.9157411432314,0.5843194668539592,0.10574117121894078,1.0,2.875,0.8636809062391697
flat_mlp,0.47919999999999996,484.80039433997564,0.5223641435074132,0.27614772892559214,1.0,3.4200000000000004,0.835383823825854
flat_mlp_pruned,0.5263,422.39045090079287,0.5838517725115342,0.10440158077124466,1.0,2.88,0.8624325677248125
greedy_sleep,0.6,408.7743802696712,0.5972666204239692,0.07197568998769421,1.0,2.79,0.8416151147066604
load_aware,0.3989,840.6924325488492,0.17173159354793185,1.2753257252746129,0.9959,7.0,0.6446757861790601
load_sleep,0.6,408.7743802696712,0.5972666204239692,0.07197568998769421,1.0,2.79,0.8416151147066604
ml_gcn,0.45990000000000003,482.47697675941515,0.5246532248675713,0.2742356632363605,1.0,3.4,0.8353649644332771
ml_gcn_pruned,0.5166,421.8655437470449,0.5843689224167046,0.10645434106914811,1.0,2.875,0.8619919285864341
oracle,1.0,382.8791708355397,0.622779142033951,0.0,1.0,2.59,0.833889687658172
rsrp,0.39990000000000003,832.9797520964296,0.17933029350105453,1.254904768282576,0.9954000000000001,7.0,0.6450353719753722
rsrp_sleep,0.5905,438.6217612191716,0.5678603337742152,0.13858991744829993,0.9968,3.0949999999999998,0.8094528269810224
sinr,0.39990000000000003,832.9797520964296,0.17933029350105453,1.254904768282576,0.9954000000000001,7.0,0.6450353719753722
sinr_sleep,0.5905,438.6217612191716,0.5678603337742152,0.13858991744829993,0.9968,3.0949999999999998,0.8094528269810224
