policy,energy_saving_with_switching_vs_all_on,energy_w_with_switching,energy_gap_with_switching_vs_oracle,switch_events,switching_penalty_w,energy_saving_vs_all_on,served_ratio,active_bs,max_load
oracle,0.5205 ± 0.0203,486.6542 ± 20.5578,0.0000 ± 0.0000,2.9650 ± 0.3074,103.7750 ± 10.7577,0.6228 ± 0.0198,1.0000 ± 0.0000,2.5900 ± 0.1449,0.8339 ± 0.0239
flat_mlp_stable,0.5056 ± 0.0278,501.8583 ± 28.2049,0.0314 ± 0.0441,2.2750 ± 0.3102,79.6250 ± 10.8585,0.5840 ± 0.0247,1.0000 ± 0.0000,2.8550 ± 0.1978,0.8814 ± 0.0117
attn_ml_gcn_stable,0.5042 ± 0.0240,503.2779 ± 24.3834,0.0343 ± 0.0305,2.3500 ± 0.2718,82.2500 ± 9.5139,0.5852 ± 0.0226,1.0000 ± 0.0000,2.8400 ± 0.1729,0.8831 ± 0.0207
ml_gcn_stable,0.5039 ± 0.0231,503.5511 ± 23.4264,0.0352 ± 0.0381,2.3350 ± 0.2729,81.7250 ± 9.5514,0.5844 ± 0.0198,1.0000 ± 0.0000,2.8500 ± 0.1509,0.8811 ± 0.0211
greedy_sleep,0.4840 ± 0.0264,523.7494 ± 26.8110,0.0767 ± 0.0473,3.2850 ± 0.2991,114.9750 ± 10.4692,0.5973 ± 0.0260,1.0000 ± 0.0000,2.7900 ± 0.1997,0.8416 ± 0.0281
ml_gcn_pruned,0.4847 ± 0.0250,523.0155 ± 25.3439,0.0750 ± 0.0356,2.8900 ± 0.2726,101.1500 ± 9.5424,0.5844 ± 0.0241,1.0000 ± 0.0000,2.8750 ± 0.1830,0.8620 ± 0.0222
attn_ml_gcn_pruned,0.4831 ± 0.0276,524.6407 ± 28.0514,0.0782 ± 0.0402,2.9350 ± 0.3481,102.7250 ± 12.1818,0.5843 ± 0.0253,1.0000 ± 0.0000,2.8750 ± 0.1918,0.8637 ± 0.0212
flat_mlp_pruned,0.4809 ± 0.0272,526.8655 ± 27.5908,0.0827 ± 0.0360,2.9850 ± 0.2450,104.4750 ± 8.5752,0.5839 ± 0.0253,1.0000 ± 0.0000,2.8800 ± 0.2003,0.8624 ± 0.0226
agg_gcn_stable,0.4935 ± 0.0211,514.0603 ± 21.4506,0.0569 ± 0.0353,2.4350 ± 0.3873,85.2250 ± 13.5567,0.5775 ± 0.0223,1.0000 ± 0.0000,2.9050 ± 0.1691,0.8800 ± 0.0284
agg_gcn_pruned,0.4741 ± 0.0257,533.7642 ± 26.0532,0.0968 ± 0.0273,3.1200 ± 0.1033,109.2000 ± 3.6148,0.5817 ± 0.0279,1.0000 ± 0.0000,2.9000 ± 0.2068,0.8581 ± 0.0252
ml_gcn,0.4240 ± 0.0299,584.6770 ± 30.3322,0.2016 ± 0.0442,2.9200 ± 0.4703,102.2000 ± 16.4620,0.5247 ± 0.0300,1.0000 ± 0.0000,3.4000 ± 0.2506,0.8354 ± 0.0223
flat_mlp,0.4177 ± 0.0248,591.0254 ± 25.1838,0.2150 ± 0.0383,3.0350 ± 0.3317,106.2250 ± 11.6097,0.5224 ± 0.0293,1.0000 ± 0.0000,3.4200 ± 0.2429,0.8354 ± 0.0122
rsrp_sleep,0.4537 ± 0.0429,554.4718 ± 43.5245,0.1389 ± 0.0660,3.3100 ± 0.2665,115.8500 ± 9.3260,0.5679 ± 0.0383,0.9968 ± 0.0045,3.0950 ± 0.3192,0.8095 ± 0.0263
rsrp,0.1793 ± 0.0119,832.9798 ± 12.1258,0.7137 ± 0.0575,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1793 ± 0.0119,0.9954 ± 0.0054,7.0000 ± 0.0000,0.6450 ± 0.0396
