policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,energy_gap_with_switching_vs_oracle
oracle,1.0,403.91665953226277,92.75,496.6666595322628,0.6020525521849628,0.5106732418401352,0.0,0.23037202658089911,1.0,2.75,2.65,1.3,1.35,0.8484958899978198,1.1444983827652225e-16
greedy_sleep,0.563,432.37241250665494,103.25,535.6224125066549,0.5740173275796503,0.4722931896486159,0.08111035353948971,0.3522188380837442,1.0,2.95,2.95,1.45,1.5,0.8766657547178054,0.07843440308853991
load_sleep,0.563,432.37241250665494,103.25,535.6224125066549,0.5740173275796503,0.4722931896486159,0.08111035353948971,0.3522188380837442,1.0,2.95,2.95,1.45,1.5,0.8766657547178054,0.07843440308853991
agg_gcn_pruned,0.603,434.9020586768067,106.75,541.6520586768067,0.5715250653430476,0.46635265154994415,0.08486601623820746,0.35782822771663914,1.0,3.0,3.05,1.5,1.55,0.8631488830960622,0.09057463045115431
attn_ml_gcn_stable,0.575,437.58741919696547,99.75,537.3374191969655,0.5688793899537286,0.470603527884763,0.08282867229064239,0.3395143619479504,1.0,3.0,2.85,1.4,1.45,0.8794395179240956,0.08188743674279345
agg_gcn_stable,0.544,437.6671267329178,92.75,530.4171267329177,0.5688008603616574,0.4774215500168298,0.09085534938849842,0.3317171258041405,1.0,2.95,2.65,1.3,1.35,0.9156114367316259,0.06795396178281737
ml_gcn_stable,0.576,437.8475134694851,99.75,537.5975134694851,0.568623139438931,0.4703472773699655,0.083453474764033,0.34013916442134107,1.0,3.0,2.85,1.4,1.45,0.8807349248176838,0.08241111649364397
attn_ml_gcn_pruned,0.568,439.2226417204024,103.25,542.4726417204024,0.5672683332803917,0.4655441953493572,0.09097980788131708,0.3548671983000876,1.0,3.0,2.95,1.45,1.5,0.891306490566414,0.09222681109957642
ml_gcn_pruned,0.569,439.4827359929219,103.25,542.7327359929219,0.5670120827655942,0.46528794483455965,0.09160461035470771,0.3554920007734782,1.0,3.0,2.95,1.45,1.5,0.8926018974600023,0.0927504908504267
flat_mlp_stable,0.521,439.50248453231507,82.25,521.7524845323151,0.5669926260765369,0.4859581433179162,0.08610896667873598,0.2956373673078538,1.0,3.0,2.35,1.15,1.2,0.886711486606545,0.05050837320885791
flat_mlp_pruned,0.567,445.55282415599794,99.75,545.302824155998,0.5610317003389182,0.4627558382699527,0.10861877567300085,0.36781690943360873,1.0,3.1,2.85,1.4,1.45,0.8555596368463633,0.09792516507860316
flat_mlp,0.557,490.795627057477,96.25,587.0456270574771,0.5164575102882,0.4216299240813034,0.23452251611407465,0.4817958627021291,1.0,3.45,2.75,1.35,1.4,0.851778005545019,0.18197107816805935
agg_gcn,0.483,500.91784575561724,122.5,623.4178457556172,0.5064848810289486,0.38579522585653475,0.26147392746340953,0.5728381612441132,1.0,3.55,3.5,1.75,1.75,0.8375529589226002,0.2552037343169416
attn_ml_gcn,0.47800000000000004,507.0537986893552,92.75,599.8037986893552,0.5004396072026057,0.4090602968577781,0.2755643479801525,0.5137991991619846,1.0,3.6,2.65,1.3,1.35,0.8398198502629048,0.20765867242673808
ml_gcn,0.47800000000000004,507.0537986893552,92.75,599.8037986893552,0.5004396072026057,0.4090602968577781,0.2755643479801525,0.5137991991619846,1.0,3.6,2.65,1.3,1.35,0.8398198502629048,0.20765867242673808
rsrp_sleep,0.507,468.294975226736,134.75,603.0449752267359,0.5386256401707035,0.40586701948104836,0.1847337713275689,0.5315577639843286,0.994,3.3,3.85,1.9,1.95,0.8453259529212614,0.2141845313205747
sinr_sleep,0.507,468.294975226736,134.75,603.0449752267359,0.5386256401707035,0.40586701948104836,0.1847337713275689,0.5315577639843286,0.994,3.3,3.85,1.9,1.95,0.8453259529212614,0.2141845313205747
rsrp,0.43,840.1208481710689,0.0,840.1208481710689,0.17229473086594194,0.17229473086594194,1.1480354458968813,1.1480354458968813,0.994,7.0,0.0,0.0,0.0,0.6752097654034116,0.6915185105484131
sinr,0.43,840.1208481710689,0.0,840.1208481710689,0.17229473086594194,0.17229473086594194,1.1480354458968813,1.1480354458968813,0.994,7.0,0.0,0.0,0.0,0.6752097654034116,0.6915185105484131
load_aware,0.426,846.5225230782447,0.0,846.5225230782447,0.16598766199187714,0.16598766199187714,1.1643367649225562,1.1643367649225562,0.994,7.0,0.0,0.0,0.0,0.6733153157206715,0.7044077890701577
