policy,energy_saving_with_switching_vs_all_on,energy_w_with_switching,energy_gap_with_switching_vs_oracle,switch_events,served_ratio,active_bs,energy_saving_vs_all_on
oracle,0.5205 ± 0.0203,486.6542 ± 20.5578,0.0000 ± 0.0000,2.9650 ± 0.3074,1.0000 ± 0.0000,2.5900 ± 0.1449,0.6228 ± 0.0198
ml_gcn_pruned,0.4847 ± 0.0250,523.0155 ± 25.3439,0.0750 ± 0.0356,2.8900 ± 0.2726,1.0000 ± 0.0000,2.8750 ± 0.1830,0.5844 ± 0.0241
attn_ml_gcn_pruned,0.4831 ± 0.0276,524.6407 ± 28.0514,0.0782 ± 0.0402,2.9350 ± 0.3481,1.0000 ± 0.0000,2.8750 ± 0.1918,0.5843 ± 0.0253
greedy_sleep,0.4840 ± 0.0264,523.7494 ± 26.8110,0.0767 ± 0.0473,3.2850 ± 0.2991,1.0000 ± 0.0000,2.7900 ± 0.1997,0.5973 ± 0.0260
load_sleep,0.4840 ± 0.0264,523.7494 ± 26.8110,0.0767 ± 0.0473,3.2850 ± 0.2991,1.0000 ± 0.0000,2.7900 ± 0.1997,0.5973 ± 0.0260
flat_mlp_pruned,0.4809 ± 0.0272,526.8655 ± 27.5908,0.0827 ± 0.0360,2.9850 ± 0.2450,1.0000 ± 0.0000,2.8800 ± 0.2003,0.5839 ± 0.0253
agg_gcn_pruned,0.4741 ± 0.0257,533.7642 ± 26.0532,0.0968 ± 0.0273,3.1200 ± 0.1033,1.0000 ± 0.0000,2.9000 ± 0.2068,0.5817 ± 0.0279
ml_gcn,0.4240 ± 0.0299,584.6770 ± 30.3322,0.2016 ± 0.0442,2.9200 ± 0.4703,1.0000 ± 0.0000,3.4000 ± 0.2506,0.5247 ± 0.0300
attn_ml_gcn,0.4226 ± 0.0299,586.0555 ± 30.3201,0.2044 ± 0.0435,2.8950 ± 0.4609,1.0000 ± 0.0000,3.4200 ± 0.2463,0.5224 ± 0.0296
agg_gcn,0.4168 ± 0.0297,591.9235 ± 30.1170,0.2166 ± 0.0465,3.1350 ± 0.4028,1.0000 ± 0.0000,3.4050 ± 0.1964,0.5249 ± 0.0252
flat_mlp,0.4177 ± 0.0248,591.0254 ± 25.1838,0.2150 ± 0.0383,3.0350 ± 0.3317,1.0000 ± 0.0000,3.4200 ± 0.2429,0.5224 ± 0.0293
rsrp_sleep,0.4537 ± 0.0429,554.4718 ± 43.5245,0.1389 ± 0.0660,3.3100 ± 0.2665,0.9968 ± 0.0045,3.0950 ± 0.3192,0.5679 ± 0.0383
rsrp,0.1793 ± 0.0119,832.9798 ± 12.1258,0.7137 ± 0.0575,0.0000 ± 0.0000,0.9954 ± 0.0054,7.0000 ± 0.0000,0.1793 ± 0.0119
