policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,energy_gap_with_switching_vs_oracle
oracle,1.0,347.5144584264529,117.25,464.7644584264529,0.6576212232251695,0.5421039818458592,0.0,0.351345274386712,1.0,2.35,3.35,1.65,1.7,0.7910137967079779,2.446117289315197e-16
greedy_sleep,0.653,371.620264823644,108.5,480.120264823644,0.6338716602722719,0.526975108548134,0.06651345142152902,0.39054406361050475,1.0,2.55,3.1,1.5,1.6,0.7937637427820111,0.03303997566677358
load_sleep,0.653,371.620264823644,108.5,480.120264823644,0.6338716602722719,0.526975108548134,0.06651345142152902,0.39054406361050475,1.0,2.55,3.1,1.5,1.6,0.7937637427820111,0.03303997566677358
agg_gcn_pruned,0.43600000000000005,379.2694035659676,113.75,493.0194035659676,0.6263355629891945,0.5142665974719531,0.09490019633994064,0.43784517024610914,1.0,2.6,3.25,1.6,1.65,0.8045598331143591,0.060794117594915105
flat_mlp_pruned,0.44299999999999995,381.90385643148795,94.5,476.403856431488,0.6237400429246425,0.5306365946487803,0.1029948980327133,0.3948788447697969,1.0,2.6,2.7,1.35,1.35,0.8256468018852974,0.02504364908720125
rsrp_sleep,0.613,391.06296036799574,110.25,501.31296036799574,0.6147162952039451,0.5060956055487726,0.12743800652529655,0.4697391067829463,1.0,2.75,3.15,1.55,1.6,0.7558306807371229,0.07863876266546878
sinr_sleep,0.613,391.06296036799574,110.25,501.31296036799574,0.6147162952039451,0.5060956055487726,0.12743800652529655,0.4697391067829463,1.0,2.75,3.15,1.55,1.6,0.7558306807371229,0.07863876266546878
ml_gcn_pruned,0.284,391.5403384457058,91.0,482.54033844570574,0.6142459719746741,0.524590799560881,0.1319063097048082,0.40284318553081694,1.0,2.65,2.6,1.3,1.3,0.8465064117978505,0.03824707267727943
attn_ml_gcn_pruned,0.307,391.7543768620889,94.5,486.254376862089,0.6140350966875971,0.520931648411735,0.13224236536431253,0.4148761979759178,1.0,2.65,2.7,1.35,1.35,0.8489026399269136,0.04623829995175262
agg_gcn,0.35300000000000004,434.02430481759154,98.0,532.0243048175915,0.572389847470353,0.47583812333242215,0.25202615261105377,0.5415896680466504,1.0,3.0,2.8,1.4,1.4,0.84571903326036,0.1447181366209877
flat_mlp,0.389,437.22363735447453,108.5,545.7236373544745,0.5692377957098773,0.46234124398573934,0.26765083317190586,0.5936204103948912,1.0,3.05,3.1,1.55,1.55,0.8268309598195538,0.17419399754044051
ml_gcn,0.27,449.77906671860626,108.5,558.2790667186063,0.5568679145629495,0.44997136283881156,0.32048050215526713,0.6477548306824573,1.0,3.15,3.1,1.6,1.5,0.8212807090688953,0.20120860491089337
attn_ml_gcn,0.251,451.4884128392843,105.0,556.4884128392844,0.5551838297149908,0.45173555385292186,0.32470608279905006,0.6407613465298775,1.0,3.15,3.0,1.55,1.45,0.8319392018516385,0.19735578474175977
rsrp,0.36100000000000004,810.0269791766448,0.0,810.0269791766448,0.20194386288015287,0.20194386288015287,1.3838561878335838,1.3838561878335838,1.0,7.0,0.0,0.0,0.0,0.5600870175053241,0.7428763419628579
sinr,0.36100000000000004,810.0269791766448,0.0,810.0269791766448,0.20194386288015287,0.20194386288015287,1.3838561878335838,1.3838561878335838,1.0,7.0,0.0,0.0,0.0,0.5600870175053241,0.7428763419628579
load_aware,0.35700000000000004,816.1014091654368,0.0,816.1014091654368,0.19595920279267307,0.19595920279267307,1.4021071472755926,1.4021071472755926,1.0,7.0,0.0,0.0,0.0,0.5610660485379674,0.755946252707234
