policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,energy_gap_with_switching_vs_oracle,seed
oracle,1.0,410.85159274660083,105.0,515.8515927466008,0.5952201056683737,0.49177182980630463,0.0,0.25461142820906485,1.0,2.8,3.0,1.5,1.5,0.8571966703866671,0.0,11
ml_gcn_pruned,0.514,454.87769996112786,98.0,552.877699961128,0.5518446305801696,0.4552929064422385,0.1119670055378578,0.35410664323811697,1.0,3.15,2.8,1.4,1.4,0.8525333332107247,0.07177666548897398,11
attn_ml_gcn_pruned,0.504,455.2789986621556,105.0,560.2789986621556,0.5514492624018171,0.4480009865397482,0.11255776896867098,0.37649896481193057,1.0,3.15,3.0,1.5,1.5,0.859839343591393,0.08612439418671845,11
flat_mlp_pruned,0.5469999999999999,456.3096163296949,110.25,566.5596163296949,0.5504338755372464,0.44181318588207397,0.1104726286760033,0.392666554147991,1.0,3.15,3.15,1.55,1.6,0.871244690979446,0.09829963558531297,11
greedy_sleep,0.572,457.5428676805046,105.0,562.5428676805046,0.5492188495758576,0.4457705737137886,0.11453308526606969,0.3877122340403584,1.0,3.2,3.0,1.5,1.5,0.8257586085348919,0.09051299945649248,11
load_sleep,0.572,457.5428676805046,105.0,562.5428676805046,0.5492188495758576,0.4457705737137886,0.11453308526606969,0.3877122340403584,1.0,3.2,3.0,1.5,1.5,0.8257586085348919,0.09051299945649248,11
agg_gcn_pruned,0.46299999999999997,476.6452009396829,105.0,581.6452009396829,0.5303988168081941,0.4269505409461251,0.1657920567798806,0.4444905212875782,1.0,3.3,3.0,1.5,1.5,0.8770899409506441,0.12754367558074328,11
agg_gcn,0.425,512.3208846856148,110.25,622.5708846856148,0.4952503599156504,0.386629670260478,0.26418222645256106,0.5436465290064918,1.0,3.6,3.15,1.6,1.55,0.8713320693092765,0.20687983412205388,11
ml_gcn,0.517,514.4058680658848,96.25,610.6558680658848,0.49319618909765045,0.39836860289075393,0.27064546209542045,0.5112407011029141,1.0,3.65,2.75,1.35,1.4,0.8433129982297995,0.18378207347293046,11
attn_ml_gcn,0.515,519.515243005486,94.5,614.015243005486,0.4881623221620828,0.39505887388622074,0.28267516340714516,0.5191501376964732,1.0,3.7,2.7,1.35,1.35,0.8365892984056785,0.19029436302837138,11
flat_mlp,0.49400000000000005,536.7588147688031,94.5,631.2588147688031,0.4711735815085684,0.37807013323270633,0.31647573702576814,0.5517281033897817,1.0,3.85,2.7,1.35,1.35,0.8286936495301344,0.22372175184674328,11
load_aware,0.42699999999999994,853.6331683899504,0.0,853.6331683899504,0.15898210010842326,0.15898210010842326,1.1744293267126085,1.1744293267126085,0.994,7.0,0.0,0.0,0.0,0.6843502807541731,0.654803785416005,11
rsrp_sleep,0.513,519.7472316537816,124.25,643.9972316537816,0.48793376191745663,0.36551996881400833,0.2488683966847714,0.5749011924232826,0.9890000000000001,3.8,3.55,1.75,1.8,0.8094688203087564,0.2484157085274895,11
