policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,energy_gap_with_switching_vs_oracle,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load
agg_gcn,0.4558,482.1984698122036,109.725,591.9234698122036,0.5249276159485678,0.41682416767270586,0.2712473978136427,0.5674941074066481,0.2166412461033918,1.0,3.405,3.1350000000000002,1.575,1.56,0.8325479416706771
agg_gcn_pruned,0.5208999999999999,424.5642362205819,109.2,533.7642362205819,0.5817101120979489,0.47412390520139713,0.11102312154457265,0.408198039169533,0.09681718287089162,1.0,2.9,3.12,1.5550000000000002,1.565,0.8581413457501096
attn_ml_gcn,0.45730000000000004,484.7304674884823,101.325,586.0554674884822,0.5224330369571604,0.4226054507502638,0.27912497522767266,0.5567200824198458,0.2044452066858185,1.0,3.4200000000000004,2.895,1.46,1.435,0.834565105099594
attn_ml_gcn_pruned,0.5134,421.9157411432314,102.725,524.6407411432314,0.5843194668539592,0.48311257030223514,0.10574117121894078,0.38334327325781675,0.07820000597668361,1.0,2.875,2.935,1.47,1.465,0.8636809062391697
flat_mlp,0.47919999999999996,484.80039433997564,106.225,591.0253943399756,0.5223641435074132,0.4177089710936201,0.27614772892559214,0.5676706875512725,0.2149818439735765,1.0,3.4200000000000004,3.035,1.525,1.51,0.835383823825854
flat_mlp_pruned,0.5263,422.39045090079287,104.475,526.8654509007929,0.5838517725115342,0.4809207380287755,0.10440158077124466,0.39072263601244955,0.08268027106217618,1.0,2.88,2.9850000000000003,1.49,1.4949999999999999,0.8624325677248125
greedy_sleep,0.6,408.7743802696712,114.975,523.7493802696712,0.5972666204239692,0.4839907583550037,0.07197568998769421,0.384320541255921,0.07674798503932359,1.0,2.79,3.285,1.64,1.645,0.8416151147066604
load_aware,0.3989,840.6924325488492,0.0,840.6924325488492,0.17173159354793185,0.17173159354793185,1.2753257252746129,1.2753257252746129,0.7295693755748709,0.9959,7.0,0.0,0.0,0.0,0.6446757861790601
load_sleep,0.6,408.7743802696712,114.975,523.7493802696712,0.5972666204239692,0.4839907583550037,0.07197568998769421,0.384320541255921,0.07674798503932359,1.0,2.79,3.285,1.64,1.645,0.8416151147066604
ml_gcn,0.45990000000000003,482.47697675941515,102.2,584.6769767594152,0.5246532248675713,0.42396356969515747,0.2742356632363605,0.5541193915895797,0.20162746471434181,1.0,3.4,2.92,1.47,1.45,0.8353649644332771
ml_gcn_pruned,0.5166,421.8655437470449,101.15,523.015543747045,0.5843689224167046,0.4847137500029114,0.10645434106914811,0.3794373349211642,0.0749560249103544,1.0,2.875,2.8899999999999997,1.4449999999999998,1.4449999999999998,0.8619919285864341
oracle,1.0,382.8791708355397,103.775,486.6541708355397,0.622779142033951,0.5205377627236062,0.0,0.2769190006949279,1.1582160587916796e-17,1.0,2.59,2.965,1.4849999999999999,1.48,0.833889687658172
rsrp,0.39990000000000003,832.9797520964296,0.0,832.9797520964296,0.17933029350105453,0.17933029350105453,1.254904768282576,1.254904768282576,0.7137207277645881,0.9954000000000001,7.0,0.0,0.0,0.0,0.6450353719753722
rsrp_sleep,0.5905,438.6217612191716,115.85,554.4717612191716,0.5678603337742152,0.45372240273973236,0.13858991744829993,0.4541154286539742,0.13893033057075913,0.9968,3.0949999999999998,3.31,1.655,1.655,0.8094528269810224
sinr,0.39990000000000003,832.9797520964296,0.0,832.9797520964296,0.17933029350105453,0.17933029350105453,1.254904768282576,1.254904768282576,0.7137207277645881,0.9954000000000001,7.0,0.0,0.0,0.0,0.6450353719753722
sinr_sleep,0.5905,438.6217612191716,115.85,554.4717612191716,0.5678603337742152,0.45372240273973236,0.13858991744829993,0.4541154286539742,0.13893033057075913,0.9968,3.0949999999999998,3.31,1.655,1.655,0.8094528269810224
