switching_cost_w,policy,energy_w_with_cost_mean,energy_w_with_cost_std,energy_saving_with_cost_vs_all_on_mean,energy_saving_with_cost_vs_all_on_std,energy_gap_with_cost_vs_oracle_mean,energy_gap_with_cost_vs_oracle_std,mean_switch_events,served_ratio
0,agg_gcn,482.1984698122036,25.575544454633647,0.524927615948568,0.02519758074348143,0.25958733527491007,0.02536573801643788,3.1350000000000002,1.0
0,agg_gcn_pruned,424.5642362205819,28.273584149195834,0.5817101120979488,0.027855747930242196,0.10839617093940708,0.028692412244678823,3.12,1.0
0,attn_ml_gcn,484.7304674884823,30.038834702202102,0.5224330369571603,0.029594911036652342,0.2659326813760964,0.03910732653101143,2.8950000000000005,1.0
0,attn_ml_gcn_pruned,421.9157411432314,25.65658719739396,0.5843194668539593,0.02527742581024034,0.10178914298393611,0.02687469129537106,2.935,1.0
0,flat_mlp,484.80039433997564,29.721506281053028,0.5223641435074132,0.029282272198081803,0.2659073620547924,0.02763156918830246,3.035,1.0
0,flat_mlp_pruned,422.39045090079287,25.702911170983658,0.5838517725115341,0.025323065193087357,0.1028096147705821,0.01545246006559457,2.985,1.0
0,greedy_sleep,408.7743802696712,26.382998363142068,0.5972666204239692,0.02599310183560792,0.0672776606324732,0.02614995236753273,3.285,1.0
0,load_aware,840.6924325488492,13.170260886199376,0.17173159354793185,0.012975626488866382,1.2000327614361943,0.09429323721066911,0.0,0.9959
0,load_sleep,408.7743802696712,26.382998363142068,0.5972666204239692,0.02599310183560792,0.0672776606324732,0.02614995236753273,3.285,1.0
0,ml_gcn,482.47697675941515,30.47223372164607,0.5246532248675713,0.030021905144478896,0.2600552376323003,0.042189802451951156,2.9200000000000004,1.0
0,ml_gcn_pruned,421.86554374704485,24.49749693377694,0.5843689224167046,0.02413546495938613,0.10180873942762196,0.026049724127169886,2.8899999999999997,1.0
0,oracle,382.8791708355397,20.073083864827876,0.622779142033951,0.019776437305249153,0.0,0.0,2.965,1.0
0,rsrp,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,1.1799003093615987,0.0938587741830522,0.0,0.9954000000000001
0,rsrp_sleep,438.6217612191716,38.86731841253234,0.5678603337742151,0.03829292454436683,0.14430684673773594,0.05607956817075813,3.3099999999999996,0.9968
0,sinr,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,1.1799003093615987,0.0938587741830522,0.0,0.9954000000000001
0,sinr_sleep,438.6217612191716,38.86731841253234,0.5678603337742151,0.03829292454436683,0.14430684673773594,0.05607956817075813,3.3099999999999996,0.9968
10,agg_gcn,513.5484698122036,26.187990338862523,0.4940409164411787,0.025800975703312835,0.2448341013254857,0.021218611024249347,3.1350000000000002,1.0
10,agg_gcn_pruned,455.7642362205819,27.60913892986839,0.5509711958417912,0.02720112209839247,0.10437490068800159,0.024726492943021653,3.12,1.0
10,attn_ml_gcn,513.6804674884822,29.224386140939448,0.4939108694694756,0.028792498661024075,0.24498246931661774,0.030854267830797387,2.8950000000000005,1.0
10,attn_ml_gcn_pruned,451.26574114323137,25.782257079351908,0.5554032106963238,0.025401238501824536,0.09362530762149184,0.02279673284015181,2.935,1.0
10,flat_mlp,515.1503943399756,28.012097987502585,0.4924626656749009,0.027598126096061677,0.24860247984457629,0.025208767727288653,3.035,1.0
10,flat_mlp_pruned,452.2404509007929,25.96881713526231,0.5544429055164601,0.025585041512573722,0.09584597122831456,0.016149895344758646,2.985,1.0
10,greedy_sleep,441.6243802696712,26.080626462158808,0.5649020884042648,0.02569519848488552,0.07033015774756826,0.029810341105677436,3.285,1.0
10,load_aware,840.6924325488492,13.170260886199376,0.17173159354793185,0.012975626488866382,1.0410782022145073,0.07735004542351046,0.0,0.9959
10,load_sleep,441.6243802696712,26.080626462158808,0.5649020884042648,0.02569519848488552,0.07033015774756826,0.029810341105677436,3.285,1.0
10,ml_gcn,511.6769767594152,29.50963833839695,0.4958847519611673,0.029073535308765473,0.2401445188207802,0.033709520777115067,2.9200000000000004,1.0
10,ml_gcn_pruned,450.76554374704483,24.363846155911617,0.5558960160127637,0.024003789316169085,0.09253948927876063,0.020407619060296502,2.8899999999999997,1.0
10,oracle,412.5291708355397,19.61982311530273,0.5935673193738525,0.01932987499044606,0.0,0.0,2.965,1.0
10,rsrp,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,1.0223913190136966,0.07680224048011422,0.0,0.9954000000000001
10,rsrp_sleep,471.72176121917164,40.03186222282439,0.5352494963357914,0.03944025834761023,0.14233866310831486,0.05712599597910337,3.3099999999999996,0.9968
10,sinr,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,1.0223913190136966,0.07680224048011422,0.0,0.9954000000000001
10,sinr_sleep,471.72176121917164,40.03186222282439,0.5352494963357914,0.03944025834761023,0.14233866310831486,0.05712599597910337,3.3099999999999996,0.9968
20,agg_gcn,544.8984698122035,27.385456027347292,0.46315421693378955,0.02698074485452935,0.23228999258571142,0.029480113594632106,3.1350000000000002,1.0
20,agg_gcn_pruned,486.96423622058194,26.96788604227672,0.5202322795856336,0.026569345854459792,0.10099087299583805,0.024109790974554138,3.12,1.0
20,attn_ml_gcn,542.6304674884824,29.125458705532697,0.46538870198179094,0.028695033207421384,0.2270300525026751,0.0321729914527858,2.8950000000000005,1.0
20,attn_ml_gcn_pruned,480.6157411432314,26.37075788391151,0.5264869545386883,0.025981042250159115,0.08673287015783915,0.02761813689750217,2.935,1.0
20,flat_mlp,545.5003943399756,26.608135734466128,0.4625611878423886,0.026214912053661218,0.2337362186615266,0.028820145538618863,3.035,1.0
20,flat_mlp_pruned,482.0904509007928,26.45987225406551,0.5250340385213864,0.026068839659177848,0.08996460405998982,0.02362805406895742,2.985,1.0
20,greedy_sleep,474.4743802696712,26.119532827602484,0.5325375563845605,0.025733529879411316,0.0730878400983373,0.036422298071043,3.285,1.0
20,load_aware,840.6924325488492,13.170260886199376,0.17173159354793185,0.012975626488866382,0.9037780478499364,0.06666562750460966,0.0,0.9959
20,load_sleep,474.4743802696712,26.119532827602484,0.5325375563845605,0.025733529879411316,0.0730878400983373,0.036422298071043,3.285,1.0
20,ml_gcn,540.8769767594151,29.28011144418331,0.46711627905476333,0.02884740043761904,0.22308528258178423,0.034112584032438976,2.9200000000000004,1.0
20,ml_gcn_pruned,479.6655437470449,24.534329207543344,0.5274231096088228,0.024171752913835807,0.08469459367901068,0.02393911344116458,2.8899999999999997,1.0
20,oracle,442.17917083553965,19.64282736144585,0.564355496713754,0.019352539272360473,0.0,0.0,2.965,1.0
20,rsrp,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.8863413077970476,0.06598832292222293,0.0,0.9954000000000001
20,rsrp_sleep,504.82176121917166,41.33559659026603,0.5026386588973678,0.04072472570469559,0.14076284687406143,0.0600166750387396,3.3099999999999996,0.9968
20,sinr,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.8863413077970476,0.06598832292222293,0.0,0.9954000000000001
20,sinr_sleep,504.82176121917166,41.33559659026603,0.5026386588973678,0.04072472570469559,0.14076284687406143,0.0600166750387396,3.3099999999999996,0.9968
25,agg_gcn,560.5734698122035,28.181698560315336,0.44771086718009495,0.0277652202564683,0.22669708044983433,0.03509720833462888,3.1350000000000002,1.0
25,agg_gcn_pruned,502.5642362205819,26.656482141487626,0.5048628214575548,0.02626254398176118,0.09949292905772354,0.02477028072874906,3.12,1.0
25,attn_ml_gcn,557.1054674884824,29.34862111276841,0.45112761823794856,0.028914897648047697,0.21898283967496632,0.03528437624184342,2.8950000000000005,1.0
25,attn_ml_gcn_pruned,495.2907411432314,26.829989445983617,0.5120288264598707,0.026433487138900112,0.08367472113311256,0.03156668824825749,2.935,1.0
25,flat_mlp,560.6753943399756,26.036562703211622,0.44761044892613244,0.02565178591449421,0.2270606475923551,0.031749679916096486,3.035,1.0
25,flat_mlp_pruned,497.01545090079287,26.786183214171913,0.5103296050238495,0.026390328289824554,0.0873543496572293,0.027840075341667048,2.985,1.0
25,greedy_sleep,490.8993802696712,26.26701107921576,0.5163552903747081,0.02587882864947366,0.07436732927604613,0.04005537732779606,3.285,1.0
25,load_aware,840.6924325488492,13.170260886199376,0.17173159354793185,0.012975626488866382,0.8418975806562103,0.06307013892367246,0.0,0.9959
25,load_sleep,490.8993802696712,26.26701107921576,0.5163552903747081,0.02587882864947366,0.07436732927604613,0.04005537732779606,3.285,1.0
25,ml_gcn,555.4769767594152,29.447744879886223,0.4527320426015614,0.02901255653190761,0.2154392005294191,0.03673000672662262,2.9200000000000004,1.0
25,ml_gcn_pruned,494.1155437470449,24.732093820412928,0.5131866564068523,0.02436659489695856,0.08120783008277063,0.027503695409322945,2.8899999999999997,1.0
25,oracle,457.00417083553964,19.833751214939944,0.5497495853837048,0.019540641591073854,0.0,0.0,2.965,1.0
25,rsrp,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.8250247093600981,0.0623315110237241,0.0,0.9954000000000001
25,rsrp_sleep,521.3717612191716,42.03566725646474,0.486333240178156,0.041414450498980036,0.14009047862675922,0.06186389683818481,3.3099999999999996,0.9968
25,sinr,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.8250247093600981,0.0623315110237241,0.0,0.9954000000000001
25,sinr_sleep,521.3717612191716,42.03566725646474,0.486333240178156,0.041414450498980036,0.14009047862675922,0.06186389683818481,3.3099999999999996,0.9968
30,agg_gcn,576.2484698122036,29.09579979418313,0.43226751742640035,0.028665812605106533,0.221493933888456,0.04084321543896672,3.1350000000000002,1.0
30,agg_gcn_pruned,518.164236220582,26.35151866710924,0.48949336332947596,0.025962087356757844,0.09810557996081812,0.025873981445674345,3.12,1.0
30,attn_ml_gcn,571.5804674884823,29.749191396491643,0.4368665344941062,0.029309548173883395,0.21147193224115787,0.03920725198737178,2.8950000000000005,1.0
30,attn_ml_gcn_pruned,509.9657411432314,27.392275196042927,0.49757069838105294,0.026987463247332935,0.08083812040131029,0.035836763488198094,2.935,1.0
30,flat_mlp,575.8503943399757,25.560001886182558,0.43265971000987624,0.025182267868160156,0.2208232145456069,0.03497729274065572,3.035,1.0
30,flat_mlp_pruned,511.9404509007929,27.163868862034246,0.4956251715263124,0.026762432376388427,0.08493277670364233,0.03200100768162745,2.985,1.0
30,greedy_sleep,507.3243802696712,26.498214242665362,0.5001730243648559,0.0261066150174043,0.07558610278378207,0.04370995859820394,3.285,1.0
30,load_aware,840.6924325488492,13.170260886199376,0.17173159354793185,0.012975626488866382,0.7839502459017264,0.06036776042259304,0.0,0.9959
30,load_sleep,507.3243802696712,26.498214242665362,0.5001730243648559,0.0261066150174043,0.07558610278378207,0.04370995859820394,3.285,1.0
