policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,mean_active_load
rsrp,0,0,0.45714285714285713,0.34285714285714286,858.7141419573534,0.1539762148203415,1.0346742394856625,1.0,7.0,0.7343567558394053,0.5940627063827358
rsrp,1,1,0.3142857142857143,0.3142857142857143,758.278387814869,0.2529276967341192,1.6810991619978177,1.0,7.0,0.5383604397370045,0.3331906177009583
rsrp,2,2,0.4,0.37142857142857144,746.4561170275442,0.26457525416005495,1.6816509987958352,1.0,7.0,0.38612807333120835,0.3024834208507639
rsrp,3,3,0.2857142857142857,0.2571428571428571,782.5994776986802,0.22896603182396041,1.5514874118888573,1.0,7.0,0.5801154944877941,0.3963622797368315
rsrp,4,4,0.37142857142857144,0.34285714285714286,770.2582203088195,0.24112490609968518,1.549398021782909,1.0,7.0,0.5810479905974306,0.36430706573719374
rsrp,5,5,0.3142857142857143,0.2571428571428571,808.7134098211725,0.20323801988061824,1.484435683641349,1.0,7.0,0.5708605295466331,0.4641906748601882
sinr,0,0,0.45714285714285713,0.34285714285714286,858.7141419573534,0.1539762148203415,1.0346742394856625,1.0,7.0,0.7343567558394053,0.5940627063827358
sinr,1,1,0.3142857142857143,0.3142857142857143,758.278387814869,0.2529276967341192,1.6810991619978177,1.0,7.0,0.5383604397370045,0.3331906177009583
sinr,2,2,0.4,0.37142857142857144,746.4561170275442,0.26457525416005495,1.6816509987958352,1.0,7.0,0.38612807333120835,0.3024834208507639
sinr,3,3,0.2857142857142857,0.2571428571428571,782.5994776986802,0.22896603182396041,1.5514874118888573,1.0,7.0,0.5801154944877941,0.3963622797368315
sinr,4,4,0.37142857142857144,0.34285714285714286,770.2582203088195,0.24112490609968518,1.549398021782909,1.0,7.0,0.5810479905974306,0.36430706573719374
sinr,5,5,0.3142857142857143,0.2571428571428571,808.7134098211725,0.20323801988061824,1.484435683641349,1.0,7.0,0.5708605295466331,0.4641906748601882
load_aware,0,0,0.34285714285714286,0.34285714285714286,858.7141419573534,0.1539762148203415,1.0346742394856625,1.0,7.0,0.7343567558394053,0.5940627063827358
load_aware,1,1,0.2857142857142857,0.2857142857142857,765.4676334138883,0.24584469614395243,1.706518692160707,1.0,7.0,0.5383604397370045,0.35186398289321613
load_aware,2,2,0.37142857142857144,0.37142857142857144,746.4561170275442,0.26457525416005495,1.6816509987958352,1.0,7.0,0.38612807333120835,0.3024834208507639
load_aware,3,3,0.2571428571428571,0.2571428571428571,782.5994776986802,0.22896603182396041,1.5514874118888573,1.0,7.0,0.5801154944877941,0.3963622797368315
load_aware,4,4,0.34285714285714286,0.34285714285714286,771.8783258492601,0.23952874300565505,1.554760241556718,1.0,7.0,0.5810479905974306,0.36851513207600056
