policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,energy_gap_with_switching_vs_oracle
oracle,1.0,319.5981437479127,87.5,407.0981437479127,0.6851249815291501,0.5989180849774259,0.0,0.2868595744445726,1.0,2.1666666666666665,2.5,1.1666666666666667,1.3333333333333333,0.7499266232882175,0.0
greedy_sleep,0.4523809523809524,344.4107647173301,46.666666666666664,391.0774313839968,0.6606790495395762,0.6147020380453233,0.07586927736771845,0.23173879159959243,1.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.7731524970367869,-0.03935343997499629
load_sleep,0.4523809523809524,344.4107647173301,46.666666666666664,391.0774313839968,0.6606790495395762,0.6147020380453233,0.07586927736771845,0.23173879159959243,1.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.7731524970367869,-0.03935343997499629
agg_gcn_pruned,0.3761904761904762,346.17746789051836,58.333333333333336,404.51080122385173,0.6589384552802775,0.6014671909124614,0.08289561186475809,0.28067774172883847,1.0,2.3333333333333335,1.6666666666666667,0.8333333333333334,0.8333333333333334,0.7883608212685281,-0.0063555743591479094
rsrp_sleep,0.6238095238095238,349.4360424275066,58.333333333333336,407.7693757608399,0.6557280370172348,0.5982567726494188,0.09458710081122886,0.286586488831149,1.0,2.5,1.6666666666666667,0.8333333333333334,0.8333333333333334,0.6937138743833663,0.0016488211091989044
sinr_sleep,0.6238095238095238,349.4360424275066,58.333333333333336,407.7693757608399,0.6557280370172348,0.5982567726494188,0.09458710081122886,0.286586488831149,1.0,2.5,1.6666666666666667,0.8333333333333334,0.8333333333333334,0.6937138743833663,0.0016488211091989044
agg_gcn_stable,0.49523809523809526,360.34764625676445,70.0,430.34764625676445,0.6449776884169808,0.5760121711756016,0.12902570684984682,0.36074218240640993,1.0,2.5,2.0,1.0,1.0,0.737258721943582,0.05711031323996545
flat_mlp_pruned,0.32857142857142857,363.19248953998255,81.66666666666667,444.85915620664923,0.6421748871527265,0.561715117037784,0.13467363922609915,0.4126096222858864,1.0,2.5,2.3333333333333335,1.1666666666666667,1.1666666666666667,0.7947217319228361,0.09275653313250995
flat_mlp_stable,0.4714285714285715,363.43671545721867,70.0,433.43671545721867,0.6419342704854989,0.5729687532441196,0.13510947342085897,0.3668259489774221,1.0,2.5,2.0,1.0,1.0,0.749425596614723,0.06469833408431266
ml_gcn_pruned,0.4761904761904762,372.8364868546461,70.0,442.8364868546461,0.632673411965866,0.5637078947244866,0.16965750664085077,0.4044311547950085,1.0,2.6666666666666665,2.0,1.0,1.0,0.7026508153870726,0.08778802766750934
attn_ml_gcn_pruned,0.4666666666666666,374.40542412228257,81.66666666666667,456.07209078894925,0.6311276609632684,0.5506678908483259,0.17447741402185102,0.4450920444372341,1.0,2.6666666666666665,2.3333333333333335,1.1666666666666667,1.1666666666666667,0.7118129946445952,0.12030009911163514
flat_mlp,0.24761904761904763,377.11331185177846,81.66666666666667,458.77997851844515,0.6284597912790361,0.5480000211640935,0.18007751166492345,0.45896433362528194,1.0,2.6666666666666665,2.3333333333333335,1.1666666666666667,1.1666666666666667,0.7371651829424978,0.1269517819332908
ml_gcn_stable,0.5190476190476191,378.18031477674845,81.66666666666667,459.8469814434152,0.6274085568701985,0.546948786755256,0.1879535501468481,0.46186650278400737,1.0,2.6666666666666665,2.3333333333333335,1.1666666666666667,1.1666666666666667,0.7331010433607088,0.12957277871590142
agg_gcn,0.2571428571428571,379.18012602288474,81.66666666666667,460.8467926895514,0.6264235211597194,0.5459637510447769,0.18719547786027355,0.46608229982063204,1.0,2.6666666666666665,2.3333333333333335,1.1666666666666667,1.1666666666666667,0.7600469149704687,0.1320287251786673
attn_ml_gcn_stable,0.5142857142857143,391.3154509562365,87.5,478.8154509562365,0.6144675360037078,0.5282606394519838,0.22830579438751744,0.5201392381552894,1.0,2.8333333333333335,2.5,1.3333333333333333,1.1666666666666667,0.7031252768213291,0.17616711918178948
attn_ml_gcn,0.4904761904761905,412.3488858122698,81.66666666666667,494.0155524789365,0.5937449400864336,0.5132851699714911,0.299751638758605,0.5708491980865048,1.0,3.0,2.3333333333333335,1.1666666666666667,1.1666666666666667,0.7065170556104888,0.21350480238211475
ml_gcn,0.4904761904761905,412.3488858122698,81.66666666666667,494.0155524789365,0.5937449400864336,0.5132851699714911,0.299751638758605,0.5708491980865048,1.0,3.0,2.3333333333333335,1.1666666666666667,1.1666666666666667,0.7065170556104888,0.21350480238211475
rsrp,0.3142857142857143,787.5032924380731,0.0,787.5032924380731,0.2241346872531299,0.2241346872531299,1.4971242529320719,1.4971242529320719,1.0,7.0,0.0,0.0,0.0,0.5651448805899126,0.9344310568159178
sinr,0.3142857142857143,787.5032924380731,0.0,787.5032924380731,0.2241346872531299,0.2241346872531299,1.4971242529320719,1.4971242529320719,1.0,7.0,0.0,0.0,0.0,0.5651448805899126,0.9344310568159178
load_aware,0.30952380952380953,790.5305715539738,0.0,790.5305715539738,0.22115214625224267,0.22115214625224267,1.5070440895115358,1.5070440895115358,1.0,7.0,0.0,0.0,0.0,0.564282422638719,0.9418672958712726
