policy,static_saving_pct_mean,static_saving_pct_std,switching_saving_pct_mean,switching_saving_pct_std,energy_w_mean,energy_w_std,energy_w_switching_mean,energy_w_switching_std,active_bs_mean,active_bs_std,switch_events_mean,switch_events_std,served_ratio_mean,max_load_mean
oracle,80.40,0.50,73.72,1.21,198.98,5.07,266.79,12.24,1.28,0.08,1.94,0.23,1.00,0.61
ml_gcn_search,80.38,0.52,73.50,1.33,199.16,5.23,269.02,13.47,1.28,0.08,2.00,0.25,1.00,0.61
ml_gcn_stable_search,79.05,0.76,76.10,0.84,212.69,7.76,242.58,8.57,1.40,0.09,0.85,0.18,1.00,0.61
attn_ml_gcn_stable_search,79.04,0.77,76.10,0.85,212.70,7.78,242.59,8.58,1.40,0.09,0.85,0.18,1.00,0.61
agg_gcn_stable_search,78.87,0.92,76.04,0.82,214.46,9.30,243.19,8.31,1.42,0.10,0.82,0.15,1.00,0.60
flat_mlp_stable_search,78.93,0.97,76.07,0.86,213.86,9.82,242.88,8.77,1.41,0.12,0.83,0.20,1.00,0.61
ml_gcn,77.86,0.73,72.27,1.52,224.74,7.45,281.47,15.40,1.53,0.08,1.62,0.35,1.00,0.57
greedy_sleep,76.92,0.71,68.28,1.38,234.28,7.23,321.93,14.00,1.72,0.10,2.50,0.31,1.00,0.45
rsrp_sleep,76.82,0.92,68.13,1.84,235.26,9.38,323.49,18.72,1.74,0.13,2.52,0.28,1.00,0.45
rsrp,32.30,0.35,32.23,0.34,687.11,3.54,687.84,3.43,6.99,0.02,0.02,0.04,1.00,0.21
