policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,mean_active_load
rsrp,0,0,0.23809523809523808,0.21428571428571427,696.3737105075395,0.0,696.3737105075395,0.31391752659355715,0.31391752659355715,2.8852023777836195,2.8852023777836195,1.0,7.0,0,0,0,0.25339666347281475,0.17239924807153115
rsrp,1,1,0.047619047619047616,0.07142857142857142,706.8761296524997,0.0,706.8761296524997,0.3035703156133008,0.3035703156133008,2.8056294508107733,2.8056294508107733,1.0,7.0,0,0,0,0.23943270336460928,0.19967825883766152
rsrp,2,2,0.09523809523809523,0.09523809523809523,685.1256860076785,0.0,685.1256860076785,0.32499932413036603,0.32499932413036603,2.604965352674598,2.604965352674598,1.0,7.0,0,0,0,0.18856871535914577,0.14318360001994415
rsrp,3,3,0.19047619047619047,0.16666666666666666,670.5527253504852,0.0,670.5527253504852,0.33935692083696045,0.33935692083696045,3.036967157085588,3.036967157085588,1.0,7.0,0,0,0,0.13904173557856517,0.10533175415710436
rsrp,4,4,0.09523809523809523,0.09523809523809523,592.8784061934657,35.0,627.8784061934657,0.41588334365175794,0.3814005850310683,2.250062656822684,2.44192694434014,1.0,6.0,1,0,1,0.1892542909565224,0.13599517028322936
rsrp,5,5,0.14285714285714285,0.11904761904761904,677.6946469535775,35.0,712.6946469535775,0.3323205448733227,0.297837786252633,2.8804653493442074,3.0808746160214318,1.0,7.0,1,1,0,0.17424446026210727,0.12388219987942188
rsrp,6,6,0.35714285714285715,0.30952380952380953,687.3187530880714,0.0,687.3187530880714,0.32283866690830404,0.32283866690830404,1.715295961084078,1.715295961084078,1.0,7.0,0,0,0,0.16034425800084376,0.14887987815083464
rsrp,7,7,0.2857142857142857,0.2857142857142857,697.3461475346403,0.0,697.3461475346403,0.31295946055700463,0.31295946055700463,1.7908742568450997,1.7908742568450997,1.0,7.0,0,0,0,0.2098673657598451,0.17492505853153334
rsrp,8,8,0.11904761904761904,0.11904761904761904,714.0572586082199,0.0,714.0572586082199,0.29649531171603954,0.29649531171603954,2.8697416341122413,2.8697416341122413,1.0,7.0,0,0,0,0.2823757243136052,0.21833054183953213
rsrp,9,9,0.2619047619047619,0.2857142857142857,703.2326700121044,0.0,703.2326700121044,0.3071599310225572,0.3071599310225572,1.700748979577644,1.700748979577644,1.0,7.0,0,0,0,0.2533125154000189,0.19021472730416722
rsrp,10,10,0.09523809523809523,0.14285714285714285,679.6484130881441,0.0,679.6484130881441,0.33039565212990724,0.33039565212990724,3.1681882982609078,3.1681882982609078,1.0,7.0,0,0,0,0.19373259918693833,0.1289569171120627
rsrp,11,11,0.23809523809523808,0.19047619047619047,702.2927341747065,0.0,702.2927341747065,0.3080859761825551,0.3080859761825551,2.7828393725155856,2.7828393725155856,1.0,7.0,0,0,0,0.27925492933871027,0.18777333551871814
rsrp,12,12,0.2857142857142857,0.35714285714285715,700.6405345010565,0.0,700.6405345010565,0.30971375911225957,0.30971375911225957,1.8142775496736463,1.8142775496736463,1.0,7.0,0,0,0,0.22852586424291788,0.18348190779495235
rsrp,13,13,0.047619047619047616,0.07142857142857142,691.6243010703879,0.0,691.6243010703879,0.31859674771390356,0.31859674771390356,2.737534508904376,2.737534508904376,1.0,7.0,0,0,0,0.23881596669069036,0.16006311966334535
