policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,energy_gap_with_switching_vs_oracle,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load
agg_gcn,0.0672558402524789,5.490768641793726,14.0392726555734,15.866829999341256,0.005409624277629328,0.0156323448269372,0.03171623021554604,0.0850201862018685,0.0680742103977028,0.0,0.06454972243679034,0.40112207587352555,0.19364916731037085,0.20884197168146654,0.04199662869106253
agg_gcn_pruned,0.07422450239624298,6.665718216138199,8.347817274038809,11.284200915473091,0.006567210065160767,0.011117439325589255,0.03512521897684351,0.06364500780777918,0.055842643444177505,0.0,0.07966461333166668,0.2385090649725375,0.11825962754115557,0.12297746456210365,0.041489079499362064
agg_gcn_search,0.0473085898563596,5.240062720995519,9.1215482647911,13.934279131849822,0.005162623370438917,0.013728353824482576,0.0009928652903902929,0.04112964696115208,0.010710363537107638,0.0,0.07869008596786278,0.26061566470831726,0.12645755155655597,0.13579896179533688,0.054962338525715616
agg_gcn_stable,0.08027994528219655,7.157996273707084,6.194818125250996,9.96321939979931,0.007052213077543873,0.009815979704235759,0.03782304603188721,0.049658721537731244,0.05053201608195044,0.0,0.086624811830626,0.1769948035785999,0.09223309842157773,0.08795077888326426,0.04542704668554689
agg_gcn_stable_search,0.08105158055560924,9.304277584378317,5.327298741643466,8.30767313548904,0.009166775945200305,0.00818489964087593,0.03525876299778563,0.029754605466485957,0.03181982829687566,0.0,0.10476678980914499,0.15220853547552757,0.08286907716764608,0.07203501377716633,0.04652246152961749
attn_ml_gcn,0.06805713024129349,7.464604685560291,12.545999466900067,15.782113406907172,0.007354290330601266,0.015548880203849395,0.035180114876876806,0.0739835059044242,0.06275417380552467,0.0,0.07807482956975102,0.35845712762571624,0.16810720051264175,0.19124349420065007,0.03810288583976694
attn_ml_gcn_pruned,0.0699399680394814,7.3783092286311724,8.948934561384984,12.634327146966681,0.007269270175991292,0.012447612952676542,0.03167161716051897,0.06270142085210696,0.056344886454835326,0.0,0.08784104611578836,0.2556838446109995,0.12305586907409267,0.13494397557212354,0.04524719163583803
attn_ml_gcn_search,0.041235194595643815,5.216544236541957,9.527033701104205,14.180139080485572,0.005139452449795021,0.013970580374862604,0.0007988028164657983,0.043236137823139,0.010606359930621295,0.0,0.07869008596786278,0.2722009628886916,0.13183474972315876,0.14191155304938666,0.05571420194971911
attn_ml_gcn_stable,0.07852293777852183,7.468394662742943,6.441660078574562,9.943800632083999,0.007358024298268897,0.009796847913383214,0.03589007822148485,0.053849165160314974,0.05372890628708828,0.0,0.0909695716322934,0.184047430816416,0.10053867261585478,0.08606629658238701,0.04747111014170198
attn_ml_gcn_stable_search,0.09535565798428634,7.780998010509062,6.196725103324565,8.57702208931872,0.00766600789212716,0.008450268068294284,0.02477287740895893,0.031569506616800816,0.032795325976691894,0.0,0.09460770203292442,0.17704928866641612,0.09781564923143894,0.08110445178142463,0.048680368980819254
flat_mlp,0.08001285740878189,6.955993374056002,16.272020336557272,20.377680095321367,0.006853195442419706,0.02007653211361707,0.030731385216836313,0.1019286102039732,0.08425293817422037,0.0,0.07027283689263064,0.46491486675877913,0.2302792856136132,0.23586588572615308,0.03473337299167329
flat_mlp_pruned,0.05839623134219382,6.879105612135591,9.17321420202844,12.95832865092124,0.006777443952842949,0.01276682625706522,0.02421834788946556,0.05673477920530865,0.054953447688959454,0.0,0.08205030826523305,0.26209183434366967,0.12430361575146918,0.13916638944305942,0.04277381053646884
flat_mlp_search,0.060427172829575285,5.374315331968683,9.487265059144764,14.375687240556665,0.005294891952678492,0.014163238660646964,0.001384257444369432,0.04390358795409708,0.01827168481376099,0.0,0.07869008596786278,0.27106471597556475,0.13028932666176196,0.14225097365632633,0.054029444555439524
flat_mlp_stable,0.052215283850199475,6.180429251527615,5.8353584447754665,8.63550476824407,0.0060890928586478646,0.00850788647117641,0.02274818184650021,0.04086062686621038,0.045520929560732004,0.0,0.07296625298090942,0.16672452699358475,0.08572944090006089,0.08379501738332418,0.046008271093672615
flat_mlp_stable_search,0.10022536613395266,9.819486622040426,6.890099859961894,8.765167106985313,0.009674371056197496,0.008635632617719496,0.033288084100144805,0.031458461839502454,0.032665444267548346,0.0,0.1191533921640401,0.19685999599891127,0.10659213252416608,0.09212846639876111,0.06063257457228969
greedy_sleep,0.07627098140597334,7.233672065081649,10.770405733327499,13.997615675183889,0.0071267705074695995,0.013790754359787091,0.03166380863628069,0.056954466339371526,0.053510232168718516,0.0,0.10025045795899218,0.30772587809507146,0.15768629977205526,0.15087195126666972,0.05459640897853838
load_aware,0.018570411042535862,3.064985170114497,0.0,3.064985170114497,0.0030196898227728593,0.0030196898227728593,0.07353533648681888,0.07353533648681888,0.11922187513513932,0.0,0.0,0.0,0.0,0.0,0.009833280491125232
load_sleep,0.07627098140597334,7.233672065081649,10.770405733327499,13.997615675183889,0.0071267705074695995,0.013790754359787091,0.03166380863628069,0.056954466339371526,0.053510232168718516,0.0,0.10025045795899218,0.30772587809507146,0.15768629977205526,0.15087195126666972,0.05459640897853838
